Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 03014009-Alacant - Rabassa
	
FECHA	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	PM2.5	PM1	SO2	CO	NO	NO2	PM10	NOx	O3
03/03/2014	3,2	298	16,7	40	989	155	0	5	1	3	0,1	2	7	34	10	66
04/03/2014	3,3	302	15,6	35	995	229	0	5	2	2	0,1	3	10	29	15	66
05/03/2014	2,2	336	16,7	53	997	220	0	4	2	3	0,2	5	14	21	23	50
06/03/2014	0,8	38	13,4	75	1003	216	0	3	3	2	0,2	2	8	5	12	60
07/03/2014	0,6	274	12,1	71	1007	234	0	7	6	3	0,2	3	14	9	18	64
08/03/2014	0,7	20	11,9	50	1007	244	0	8	7	2	0,1	2	14	11	18	74
09/03/2014	1,2	30	12,1	54	1007	238	0	7	6	2	0,1	2	5	11	8	81
10/03/2014	0,8	344	11,4	65	1004	237	0	8	7	1	0,2	2	11	15	14	69
11/03/2014	1	53	12,2	57	1002	222	0	8	7	2	0,1	2	9	11	12	79
12/03/2014	1,1	44	13,1	66	1006	149	0	11	11	1	0,2	1	8	13	9	76
13/03/2014	1	24	13,1	64	1006	177	0	7	6	1	0	3	8	9	13	72
14/03/2014	0,7	294	13,9	55	1006	150	0	11	10	1	0,1	4	12	14	18	76
15/03/2014	0,5	279	13,7	50	1007	230	0	16	13	2	0,1	4	18	28	24	77
16/03/2014	0,6	12	15,5	46	1004	248	0	13	12	2	0,1	4	13	21	20	78
17/03/2014	0,5	82	15,4	51	1004	250	0	14	11	2	0,2	7	29	23	39	59
18/03/2014	0,4	55	14,6	61	1002	249	0	16	13	2	0,2	7	32	23	43	61
19/03/2014	0,9	37	14,2	66	1004	230	0	11	9	1	0,2	3	9	14	13	73
20/03/2014	0,6	216	13,7	74	1002	252	0	11	9	2	0,2	4	14	19	20	63
21/03/2014	0,5	56	14,7	82	1001	201	0	18	16	1	0,3	4	17	22	23	56
22/03/2014	0,9	248	18,1	58	996	145	0	17	15	1	0,2	4	16	23	22	53
23/03/2014	1,3	311	15,1	41	1000	272	0	3	1	2	0	3	9	11	13	74
24/03/2014	1,8	263	15,3	48	1000	269	0	5	2	1	0,1	2	7	21	10	69
25/03/2014	2,3	285	16,9	38	998	168	0	5	2	1	0,1	3	11	27	15	74
26/03/2014	2,6	308	13,4	40	993	163	0	4	1	1	0	2	9	26	12	69
27/03/2014	1,2	360	13,9	51	994	245	0	2	2	1	0,3	2	10	6	13	70
28/03/2014	1,8	52	13,6	74	991	171	0	3	2	0	0,2	1	6	5	8	73
29/03/2014	1,9	85	16,3	66	987	228	0	6	3	3	0,2	1	1	10	3	79
30/03/2014	0,6	358	14,7	71	993	172	0	5	3	2	0,1	1	4	9	6	66
31/03/2014	0,6	56	15,2	59	997	287	0	5	4	1	0,1	4	15	11	22	63
01/04/2014	0,7	40	15	70	994	211	0	6	5	2	0,2	2	10	10	14	66
02/04/2014	0,6	46	16,8	61	984	84	0,5	10	6	1	0,1	4	16	27	22	55
03/04/2014	2	289	17	54	984	206	0,3	3	2	0	0	3	11	8	15	61
04/04/2014	3,1	298	19	40	995	288	0	4	1	1	0,1	4	16	25	22	60
05/04/2014	2,4	304	22,1	46	999	265	0	3	1	1	0	3	8	22	12	53
06/04/2014	0,7	243	20,5	54	1001	295	0	2	2	1	0	1	4	4	6	58
07/04/2014	0,5	162	17,6	70	1002	296	0	5	5	2	0,3	5	15	8	23	49
08/04/2014	0,5	24	17,8	69	1002	286	0	8	6	0	0	6	18	13	27	47
09/04/2014	0,5	39	17,2	70	1004	286	0	8	7	1	0	3	11	12	15	59
10/04/2014	0,5	158	17,3	69	1001	286	0	9	7	1	0	4	21	17	28	49
11/04/2014	0,5	300	19,2	58	997	130	0	10	7	1	0,1	6	39	28	49	35
12/04/2014	0,9	68	20	57	995	284	0	6	4	1	0,1	1	6	11	8	70
13/04/2014	0,6	210	18	59	1001	304	0	6	4	2	0	1	6	11	8	73
14/04/2014	0,5	58	18	55	1000	287	0	6	4	2	0,2	5	16	11	24	63
15/04/2014	0,7	206	18,9	53	998	308	0	8	6	2	0,1	3	17	16	21	70
16/04/2014	0,4	149	18,7	74	1000	295	0	12	11	1	0,2	2	12	15	15	65
17/04/2014	0,6	63	17,7	78	1000	267	0	12	11	0	0,2	1	8	14	10	66
18/04/2014	0,6	208	17,5	73	995	304	0	9	7	2	0,1	2	7	13	10	60
19/04/2014	0,5	79	19,6	74	987	216	0	12	9	1	0,2	2	13	22	16	56
20/04/2014	1,4	239	20,5		986	265	0	6	4	1		1	2	14	3	68
21/04/2014	0,8	248	18,9	57	986	255	1,1	3	1	2	0,1	2	7	8	10	56
22/04/2014	1,1	322	20,2	49	994	270	0	2	1	1	0	2	7	8	10	59
23/04/2014	0,8	133	19,6	53	1001	201	0	5	3	2	0,1	4	15	14	21	52
24/04/2014	0,9	55	18,1	73	998	287	0,5	7	5	1	0,2	3	12	12	17	49
25/04/2014	2,9	302	19,2	33	999	324	0	3	1	2	0	3	12	24	16	80
26/04/2014	1,8	273	21,7	39	998	276	0	3	1	1	0,2	2	7	14	10	70
27/04/2014	1,4	300	19,3	55	998	319	0	3	2	1	0,3	1	2	7	4	67
28/04/2014	0,6	80	20,1	47	997	315	0	3	2	1	0,1	2	8	9	11	67
29/04/2014	0,4	85	18,7	71	996	314	0	7	6	1		2	10	11	13	64
30/04/2014	0,6	66	18,9	63	996	320	0	5	4	1	0,1	2	11	10	13	67
01/05/2014	0,5	92	19,5	48	997	327	0	2	1	2	0,1	2	6	5	8	61
02/05/2014	0,7	72	18,1	58	997	310	0	3	2	1	0,2	4	12	11	18	56
03/05/2014	0,8	75	16,9	65	997	332	0	2	1	1	0,2	2	7	7	9	59
04/05/2014	0,5	121	17,7	64	997	335	0	2	1	2	0,2	2	7	8	9	64
05/05/2014	0,5	82	17,7	71	998	331	0	4	2	1		2	8	7	11	64
06/05/2014	0,4	71	18	70	1000	339	0	5	3	1		3	9	9	13	64
07/05/2014	0,4	75	17,9	76	1000	277	0	6	4	1		3	8	10	11	61
08/05/2014	0,5	77	19,4	79	1002	262	0	7	4	2	0,3	2	6	10	8	68
09/05/2014	0,5	65	19,6	70	1002	301	0	7	5	1	0,1	3	11	11	14	63
10/05/2014	0,8	199	20,8	55	1001	324	0	4	3	2	0,1	2	8	9	10	70
11/05/2014	0,5	82	21,4	68	997	292	0	6	5	2	0,3	2	6	13	9	63
12/05/2014	0,8	82	20,4	78	998	293	0	6	4	1	0,3	2	4	10	6	64
13/05/2014	1,1	96	19,8	77	1002	230	0	5	3	1	0,2	2	4	10	6	70
14/05/2014	0,5	75	17,7	75	1008	116	0	5	3	1	0,1	2	7	8	9	68
15/05/2014	0,6	83	17,7	68	1005	318	0	4	2	1	0,2	3	6	7	10	76
16/05/2014	0,8	76	18,4	59	1000	339	0	3	2	2	0,1	2	5	7	7	108
17/05/2014	1,2	58	18,2	53	997	289	0	4	2	1	0,3	2	5	8	7	115
18/05/2014	0,7	128	17,8	67	994	223	0	4	2	1	0,4	2	5	7	7	112
19/05/2014	0,7	152	18,1	69	991	334	0	4	2	1		2	7	7	9	102
20/05/2014	0,5	72	19,3	78	991	185	0	8	5	1		2	8	13	11	85
21/05/2014	0,9	221	21,5	59	990	273	0	7	3	3	0,1	2	8	17	11	84
22/05/2014	1,6	277	20,8	39	995	332	0	3	1	1	0,1	2	5	10	7	106
23/05/2014	0,9	101	20,4	44	996	347	0	3	1	2	0,1	2	7	7	9	102
24/05/2014	0,5	126	18,3	63	997	191	0	3	1	1		2	7	7	9	87
25/05/2014	0,8	158	18,3	72	998	321	0	4	3	2		2	5	6	7	83
26/05/2014	0,7	71	19,1	73	999	289	0	8	5	1		2	7	13	9	73
27/05/2014	0,7	112	19,4	76	1000	251	0	7	5	1		2	6	10	8	73
28/05/2014	1,2	277	21,7	57	995	237	0	6	4	1		3	8	11	11	68
29/05/2014	0,6	80	20,4	65	999	284	0	3	2	1		2	7	6	9	61
30/05/2014	0,6	59	19,5	77	998	277	0,3	7	5	1		4	10	13	15	53
31/05/2014	0,5	25	18	83	999	59	2,9	7	6	1		2	10	10	13	41
01/06/2014	0,6	24	19,4	65	999	151	0	4	3	2		2	6	5	8	66
02/06/2014	0,7	68	20,1	60	1000	299	0	5	4	1		2	9	8	11	77
03/06/2014	0,7	87	20	69	998	342	0	7	5	1		2	8	10	10	73
04/06/2014	0,6	82	22,7	69	993	347	0	8	5	1		4	13	14	18	58
05/06/2014	0,7	116	21,8	79	995	286	0	10	7	1		2	5	15	7	68
06/06/2014	0,6	69	22,7	73	995	280	0	8	6	1		2	6	14	8	80
07/06/2014	0,6	207	23,1	64	996	331	0	9	6	1		2	5	17	8	87
08/06/2014	0,5	110	22,2	83	999	276	0	12	9	1		2	5	16	7	83
09/06/2014	0,6	117	22,6	82	998	288	0	12	9	1		2	4	17	6	80
10/06/2014	0,6	86	23	77	998	288	0	10	9	1		3	7	14	10	79
11/06/2014	0,8	52	24,9	51	1001	337	0	6	4	2		3	8	11	12	92
12/06/2014	0,6	81	25,8	44	1002	339	0	6	5	2		3	13	13	17	92
13/06/2014	0,6	197	25,8	44	999	297	0	7	5	2		4	16	21	21	77
14/06/2014	0,5	132	25,6	45	994	342	0	8	6	1		2	10	16	12	80
15/06/2014	1,1	80	24,5	60	994	337	0	6	4	1		2	4	11	6	102
16/06/2014	0,7	89	22,4	73	997	252	0	5	3	1		2	5	8	7	90
17/06/2014	0,6	119	22	68	997	285	0	4	3	1		2	7	8	10	83
18/06/2014	0,7	107	22,3	71	998	337	0	4	3	1		3	6	6	10	84
19/06/2014	1	68	23,3	71	999	278	0	4	2	1		2	5	6	7	97
20/06/2014	1,1	60	24,1	53	996	334	0	3	2	1		2	5	6	7	95
21/06/2014	0,5	152	23,3	68	996	325	0	6	4	1		2	6	12	8	82
22/06/2014	0,5	89	24,1	77	997	224	0	7	5	1		2	6	11	8	65
23/06/2014	0,6	93	24	80	998	240	0	8	5	1		2	5	12	7	56
24/06/2014	1	251	22,7	69	996	178	1	4	3	1		3	7	8	10	59
25/06/2014	1,4	302	25	44	995	264	0	3	2	2		3	10	16	15	63
26/06/2014	0,6	95	25,2	55	996	300	0	6	5	2		2	9	18	12	78
27/06/2014	0,5	78	24,8	54	999	349	0	5	4	1		3	13	11	16	66
28/06/2014	0,7	95	25,4	52	995	347	0	4	3	1		2	6	8	8	80
29/06/2014	1	19	25,7	53	996	321	0	4	2	1		2	6	10	8	54
30/06/2014	0,5	101	23,9	71	999	334	0	6	4	1		2	5	10	7	59
01/07/2014	0,6	92	23,9	67	994	335	0	6	4	1		2	8	12	11	63
02/07/2014	0,8	111	24	79	995	252	0	8	5	1		2	4	12	6	75
03/07/2014	0,6	160	24,1	67	997	309	0	6	4	1		2	5	12	7	64
04/07/2014	1	267	26	51	997	344	0	5	3	1		2	8	15	11	63
05/07/2014	0,6	130	25,8	55	997	345	0	5	4	2		2	8	14	11	73
06/07/2014	0,5	74	25,1	62	994	309	0	8	5	1		2	6	13	8	73
07/07/2014	1,2	26	26,4	58	996	258	0	4	2	1		2	5	9	7	54
08/07/2014	0,6	80	24,1	76	999	308	0	4	2	1		2	6	7	8	60
09/07/2014	0,9	75	24,5	72	998	320	0	4	2	1		2	5	7	8	60
10/07/2014	0,6	117	24,3	61	998	326	0	3	2	1		2	4	8	6	65
11/07/2014	0,6	139	24	73	998	330	0	4	2	1		2	6	10	8	52
12/07/2014	0,6	111	24,2	74	998	332	0	4	3	1		2	5	7	7	49
13/07/2014	0,6	172	24,8	73	998	332	0	4	2	1		2	4	6	6	54
14/07/2014	0,6	114	25,3	78	998	271	0	6	4	1		3	7	10	11	53
15/07/2014	0,6	75	25,3	74	1000	326	0	4	3	1		2	6	8	8	53
16/07/2014	0,6	63	25,3	64	1001	333	0	3	2	1		3	7	8	10	49
17/07/2014	0,6	55	26,4	52	1000	322	0	4	3	1		2	7	9	9	56
18/07/2014	0,9	64	27,5	58	995	274	0	6	4	1		2	7	12	10	63
19/07/2014	0,4	163	26,7	72	993	282	0	10	5	1		2	7	23	9	61
20/07/2014	1,3	295	28,9	36	996	318	0	3	2	1		2	6	17	8	58
21/07/2014	0,7	146	26,1	47	1000	336	0	4	1	2		3	7	16	11	52
22/07/2014	0,5	216	24,8	57	997	210	0	4	2	2		4	12	24	17	52
23/07/2014	0,5	184	26,2	55	994	331	0	3	1	1		3	17	13	21	63
24/07/2014	0,5	73	25,9	67	992	309	0	5	3	1		3	14	13	18	70
25/07/2014	0,7	99	26,2	69	993	279	0	6	3	1		2	11	15	14	81
26/07/2014	0,6	187	26,2	71	996	315	0	6	4	1		2	10	12	13	77
27/07/2014	0,5	174	26	74	998	313	0	7	5	1		2	10	12	12	73
28/07/2014	0,7	149	26,8	78	995	305	0	12	9	1		2	10	19	12	77
29/07/2014	0,8	75	26,2	66	994	293	0	8	5	1		2	10	15	13	82
30/07/2014	0,5	140	25,6	64	996	295	0	4	2	1		2	11	9	13	70
31/07/2014	0,6	179	26,1	70	995	309	0	6	4	1		3	14	13	17	68
01/08/2014	0,5	72	26,8	71	991	299	0	13	8	1		2	13	26	15	75
02/08/2014	1	228	28,7	42	990	304	0	7	4	1		2	12	23	14	94
03/08/2014	0,5	132	26,2	74	993	280	0	10	6	1		2	8	18	10	74
04/08/2014	0,5	166	25,5	74	996	287	0	8	5	1	0,2	3	11	13	15	67
05/08/2014	0,6	83	25,9	75	999	278	0	7	5	1	0,2	2	9	10	12	66
06/08/2014	0,6	171	26,2	76	998	294	0	7	6	1	0,1	2	9	10	12	57
07/08/2014	0,4	119	26,3	75	997	299	0	7	6	1	0,1	2	9	11	11	54
08/08/2014	0,6	55	26,6	73	994	306	0	7	5	1	0,2	2	12	12	14	64
09/08/2014	0,6	91	26,7	71	993	286	0	10	6	1	0,2	2	12	18	14	68
10/08/2014	0,4	166	27,7	75	993	293	0	11	8	1	0,2	2	11	17	13	70
11/08/2014	0,6	114	27,4	76	995	295	0	12	9	1	0,2	3	11	21	15	67
12/08/2014	0,5	203	27,5	78	995	285	0	13	10	1	0,2	2	8	18	10	65
13/08/2014	1,5	306	28,6	61	993	285	0	8	4	1	0,1	2	8	24	11	67
14/08/2014	1,4	62	26,1	63	998	244	0	4	2	1	0,1	2	6	9	8	80
15/08/2014	0,7	97	26,1	75	999	232	0	6	3	1	0,1	2	5	10	7	68
16/08/2014	1,1	73	25,7	71	1001	255	0	4	3	1	0,1	2	5	7	7	76
17/08/2014	0,7	79	24,5	76	1000	211	3,7	5	3	1	0,1	2	6	7	8	75
18/08/2014	0,7	47	24	72	995	240	0	5	3	1	0,1	2	11	10	14	61
19/08/2014	0,6	142	25,3	78	994	270	0	9	6	1	0,2	2	10	13	13	66
20/08/2014	0,5	198	26	77	996	283	0	12	9	1	0,2	3	11	18	14	65
21/08/2014	0,5	76	25,7	76	997	266	0	11	9	1	0,2	2	9	17	12	62
22/08/2014	0,4	110	25,9	74	995	283	0	11	9	1	0,2	2	9	15	12	71
23/08/2014	0,8	68	25,9	75	999	262	0	8	6	1	0,2	2	7	12	9	73
24/08/2014	0,5	100	26	75	1001	266	0	6	4	1	0,1	2	5	9	7	66
25/08/2014	0,5	225	25,6	75	999	286	0	7	5	1	0,1	3	14	15	17	49
26/08/2014	0,7	8	27,8	53	995	284	0	7	4	1	0,2	3	17	20	21	65
27/08/2014	0,5	66	27,8	62	996	199	0	8	4	1	0,2	2	12	20	14	70
28/08/2014	0,5	126	26,7	74	997	275	0	8	6	1	0,2	2	11	14	13	60
29/08/2014	0,6	84	26,4	79	997	228	0	10	8	1	0,2	3	10	15	13	59
30/08/2014	0,6	84	26,6	74	998	196	0	6	4	1	0,2	2	8	10	10	63
31/08/2014	0,5	83	26,1	75	998	256	0	5	3	2	0,1	2	7	7	9	65
01/09/2014	0,4	184	26,1	74	997	265	0	5	3	1	0,1	4	13	8	18	50
02/09/2014	0,6	151	26,3	73	994	266	0	5	3	1	0,1	2	11	8	14	57
03/09/2014	0,5	170	27,1	77	993	256	0	9	6	1	0,2	2	12	14	15	61
04/09/2014	0,4	116	26,9	79	994	253	0	11	9	1	0,2	3	11	16	14	59
05/09/2014	0,5	166	26,9	78	995	233	0	13	10	1	0,2	2	11	19	14	54
06/09/2014	0,5	228	26,1	80	994	237	0	13	10	1	0,2	2	9	18	11	54
07/09/2014	0,5	71	26,2	77	993	257	0	9	6	1	0,1	2	9	14	11	55
08/09/2014	0,5	82	26,4	75	995	243	0	8	5	1	0,1	4	10	12	14	56
09/09/2014	0,5	82	26,9	75	997	250	0	9	6	1	0,1	3	10	15	14	58
10/09/2014	0,7	240	26,1	76	995	231	0	10	6	1	0,1	2	10	18	13	56
11/09/2014	0,9	270	29,1	47	993	255	0	6	3	1	0,1	3	16	23	20	55
12/09/2014	1	291	29,5	39	995	254	0	4	2	1	0,1	2	14	16	17	65
13/09/2014	0,5	62	25,8	71	997	234	0	7	4	1	0,2	2	15	15	17	52
14/09/2014	0,5	52	25,3	70	995	245	0	5	3	1	0,1	2	12	11	15	60
15/09/2014	0,5	80	26	59	994	223	0	5	2	1	0,1	3	20	14	24	53
16/09/2014	0,5	30	24,1	73	992	120	0,1	5	2	1	0,1	3	19	11	23	42
17/09/2014	0,7	258	24,9	63	990	228	0	5	2	2	0,1	4	17	16	22	42
18/09/2014	0,6	158	25,5	59	991	216	0	3	2	3	0,1	3	12	8	17	52
19/09/2014	0,7	43	25	64	994	207	0	4	3	3	0,1	3	18	10	22	49
20/09/2014	0,5	181	25,3	62	998	169	0	5	3	3	0,1	2	12	18	14	55
21/09/2014	0,4	64	25	69	998	160	0	5	3	3	0,1	2	12	13	14	51
22/09/2014	0,5	336	23	80	996	93	6,2	6	3	3	0,1	3	15	13	19	44
23/09/2014	0,7	264	22,9	68	995	219	0	5	3	3	0,1	3	15	12	19	52
24/09/2014	0,6	29	22,3	79	997	164	2	6	5	3	0,1	4	18	8	23	46
25/09/2014	0,8	22	21	77	1000	131	0	11	10	3	0,1	3	14	13	18	46
26/09/2014	0,9	32	21,4	74	1003	152	0	10	9	3	0,1	3	14	11	17	56
27/09/2014	1,2	58	22,3	70	1003	104	0	9	8	3	0,1	2	6	10	8	80
28/09/2014	0,3	347	22,8	75	1002	104	0	5	4	3	0,1	2	11	7	13	55
29/09/2014	0,5	16	22	83	1001	97	6,9	6	4	3	0,2	7	20	9	30	39
30/09/2014	0,7	38	22,2	82	1004	188	0	3	2	3	0,1	4	15	5	19	50
01/10/2014	0,9	50	22,8	79	1005	110	0	4	3	3	0,1	2	15	6	18	51
02/10/2014	0,9	40	22,6	81	1005	178	2,7	5	4	3	0,1	3	14	7	18	52
03/10/2014	0,6	30	22,3	79	1003	198	0,1	7	6	3	0,1	3	16	9	20	50
04/10/2014	0,6	243	21,8	82	999	160	0,9	9	8	3	0,1	3	15	11	19	50
05/10/2014	0,3	33	22,2	88	997	118	0,2	13	11	3	0,2	2	17	15	19	42
06/10/2014	0,5	286	22,5	85	995	165	0	12	11	3	0,2	3	16	13	20	48
07/10/2014	0,6	271	23,6	64	994	207	0	7	6	3	0,2	3	20	11	24	52
08/10/2014	0,4	7	22	76	994	205	0	7	6	3	0,2	4	22	8	28	52
09/10/2014	0,4	45	22,1	74	994	199	0	8	7	3	0,2	3	20	8	23	51
10/10/2014	0,5	14	22,7	67	995	176	0	5	4	3	0,1	5	24	7	31	43
11/10/2014	0,6	30	21,7	77	995	103	1,3	2	1	3	0,1	2	15	3	17	39
12/10/2014	0,6	293	21,7	71	992	155	0,1	3	2	3	0,1	2	16	4	18	39
13/10/2014	0,8	260	20,4	53	994	179	0	3	2	3	0,1	3	16	5	20	52
14/10/2014	0,9	296	18,8	63	991	121	0,9	3	2	3	0,2	4	24	8	29	40
15/10/2014	1,3	265	21,1	53	996	177	0	3	1	3	0,2	8	21	10	33	46
16/10/2014	0,7	240	23,1	67	998	188	0	3	2	3	0,2	2	15	4	19	42
17/10/2014	0,5	2	21,2	80	1000	180	0	5	4	3	0,2	6	25	7	33	29
18/10/2014	0,5	24	22	73	1002	175	0	5	4	3	0,2	3	24	7	28	33
19/10/2014	0,7	32	22,4	68	1003	180	0	8	4	3	0,2	3	15	16	18	50
20/10/2014	0,5	345	21,4	72	1003	173	0	12	8	3	0,3	4	25	23	30	39
21/10/2014	0,5	312	23,6	43	1003	101	0	9	4	3	0,2	6	26	33	34	34
22/10/2014	1	15	23,6	51	1004	168	0	6	2	3	0,1	3	13	19	16	49
23/10/2014	0,6	316	18,7	66	1002	116	0	6	3	3	0,2	4	21	17	27	37
24/10/2014	0,7	354	20,2	51	999	176	0	5	3	3	0,2	3	21	14	25	46
25/10/2014	0,4	15	21,1	48	1001	161	0	5	3	3	0,2	3	24	13	28	44
26/10/2014	0,7	12	21	56	1003	165	0	5	3	3	0,2	3	15	10	19	32
27/10/2014	0,7					217	0	5	3	3	0,1	3	13	10	18	
29/10/2014							0									
30/10/2014	0,5	12	19,4	81	1004	157	0	7	6	3	0,1	3	19	10	23	37
31/10/2014	0,4	25	19,3	80	1005	158	0	8	7	3	0,2	4	18	10	23	37
01/11/2014	0,5	296	19	80	1005	154	0	11	10	3	0,1	2	11	12	13	44
02/11/2014	0,4	271	19,5	77	1002	150	0	8	7	3	0,1	2	11	9	13	48
03/11/2014	1	263	18,2	77	995	150	0	9	8	3	0,2	3	13	12	16	43
04/11/2014	1,5	292	16,2	66	983	57	4,2	3	3	3	0,2	6	19	6	28	39
05/11/2014	1,7	309	15,8	48	989	154	0	3	2	3	0,1	5	13	8	19	45
06/11/2014	1,3	303	16,7	42	996	158	0	2	2	3	0,1	4	14	6	19	46
07/11/2014	1,4	273	19,6	55	997	132	0	3	2	3	0,1	2	9	5	12	44
08/11/2014	0,7	339	18,6	63	995	65	0,1	2	2	3	0,2	3	14	7	18	41
09/11/2014	1	317	15,6	56	991	67	0	2	1	3	0,1	2	10	9	13	48
