EXPORTACION PROMEDIOS DIARIOS																																
ESTACION:Alacant - Rabassa	CODIGO:03014009																															
FECHA	SO2		CO		NO		NO2		PM2.5		PM10		PM1		NOx		O3		Veloc.		Direc.		Temp.		H.Rel.		Pres.		R.Sol.		Precip.	
10/2/2011 0:00	3	V	 		5	V	24	V	43	V	49	V	41	V	30	V	56	V	0,6	V	314	V	10,1	V	77	V	1010	V	117	V	0	V
11/2/2011 0:00	3	V	 		6	V	25	V	39	V	46	V	37	V	32	V	53	V	0,8	V	293	V	9	V	78	V	1007	V	143	V	0	V
12/2/2011 0:00	3	V	 		3	V	24	V	45	V	50	V	43	V	27	V	53	V	0,6	V	17	V	9,7	V	79	V	1005	V	135	V	0	V
13/2/2011 0:00	3	V	 		2	V	14	V	24	V	31	V	22	V	16	V	66	V	0,8	V	278	V	13,2	V	59	V	999	V	146	V	0	V
14/2/2011 0:00	3	V	 		2	V	5	V	5	V	13	V	3	V	7	V	76	V	2,3	V	299	V	13	V	46	V	996	V	151	V	0	V
15/2/2011 0:00	3	V	 		8	V	24	V	8	V	16	V	7	V	35	V	42	V	0,5	V	286	V	11	V	66	V	991	V	21	V	0	V
16/2/2011 0:00	3	V	 		3	V	15	V	3	V	7	V	3	V	20	V	66	V	0,7	V	263	V	11,6	V	55	V	988	V	97	V	0	V
17/2/2011 0:00	3	V	 		3	V	11	V	2	V	7	V	1	V	16	V	80	V	2,1	V	277	V	12,2	V	50	V	986	V	125	V	0	V
18/2/2011 0:00	3	V	 		2	V	7	V	3	V	5	V	2	V	9	V	84	V	1,6	V	297	V	14,4	V	43	V	1000	V	166	V	0	V
19/2/2011 0:00	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		0	V
20/2/2011 0:00	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
21/2/2011 0:00	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		0	V
22/2/2011 0:00	3	V	 		2	V	5	V	3	V	9	V	2	V	7	V	78	V	2,8	V	294	V	19,2	V	41	V	1001	V	99	V	0,1	V
23/2/2011 0:00	3	V	 		3	V	13	V	4	V	8	V	3	V	16	V	67	V	0,8	V	243	V	16,3	V	50	V	1006	V	166	V	0	V
24/2/2011 0:00	3	V	 		7	V	28	V	12	V	18	V	10	V	38	V	42	V	0,5	V	14	V	12,7	V	71	V	1010	V	129	V	0	V
25/2/2011 0:00	3	V	 		3	V	19	V	9	V	15	V	8	V	23	V	52	V	0,7	V	321	V	13,5	V	64	V	1011	V	174	V	0	V
26/2/2011 0:00	3	V	 		6	V	29	V	12	V	19	V	10	V	36	V	49	V	0,4	V	28	V	15,3	V	50	V	1006	V	162	V	0	V
27/2/2011 0:00	3	V	 		2	V	12	V	6	V	10	V	5	V	13	V	70	V	1,1	V	342	V	13	V	41	V	1005	V	81	V	0,2	V
28/2/2011 0:00	3	V	 		2	V	11	V	2	V	6	V	2	V	13	V	78	V	1,2	V	334	V	10,7	V	41	V	1004	V	118	V	0,1	V
1/3/2011 0:00	3	V	 		3	V	17	V	6	V	12	V	5	V	20	V	69	V	0,7	V	297	V	9,1	V	47	V	1005	V	186	V	0	V
2/3/2011 0:00	4	V	 		4	V	25	V	11	V	18	V	9	V	29	V	59	V	0,7	V	22	V	8,9	V	58	V	1004	V	178	V	0	V
3/3/2011 0:00	3	V	 		3	V	20	V	14	V	18	V	13	V	24	V	58	V	0,9	V	20	V	9,1	V	69	V	1004	V	133	V	0	V
4/3/2011 0:00	3	V	 		2	V	19	V	8	V	9	V	8	V	21	V	73	V	0,6	V	41	V	9,6	V	75	V	1004	V	62	V	0,3	V
5/3/2011 0:00	3	V	 		2	V	11	V	9	V	10	V	8	V	13	V	74	V	0,9	V	31	V	10	V	69	V	1005	V	176	V	0	V
6/3/2011 0:00	3	V	 		2	V	7	V	8	V	9	V	7	V	8	V	84	V	0,8	V	38	V	11,2	V	70	V	1004	V	178	V	0	V
7/3/2011 0:00	3	V	 		3	V	11	V	9	V	22	V	7	V	14	V	87	V	1,5	V	44	V	12,6	V	60	V	1004	V	184	V	0	V
8/3/2011 0:00	3	V	 		2	V	6	V	10	V	15	V	8	V	7	V	106	V	2,3	V	58	V	13,8	V	58	V	1005	V	57	V	0	V
9/3/2011 0:00	3	V	 		2	V	8	V	9	V	13	V	6	V	9	V	90	V	1,7	V	57	V	12,8	V	63	V	1006	V	155	V	0	V
10/3/2011 0:00	3	V	 		3	V	10	V	11	V	17	V	8	V	13	V	72	V	0,9	V	29	V	11	V	70	V	1008	V	91	V	0	V
11/3/2011 0:00	3	V	0,2	V	2	V	7	V	9	V	11	V	7	V	9	V	90	V	1,7	V	63	V	12,5	V	77	V	1000	V	24	V	0	V
12/3/2011 0:00	3	V	0,2	V	2	V	11	V	12	V	16	V	8	V	14	V	61	V	0,4	V	53	V	14,1	V	87	V	988	V	51	V	0	V
13/3/2011 0:00	3	V	0,2	V	2	V	11	V	9	V	14	V	8	V	13	V	68	V	0,8	V	219	V	14,8	V	69	V	990	V	202	V	0	V
14/3/2011 0:00	3	V	0,2	V	2	V	12	V	13	V	32	V	6	V	14	V	76	V	0,9	V	47	V	15,8	V	69	V	988	V	177	V	0	V
15/3/2011 0:00	3	V	0,2	V	4	V	17	V	9	V	17	V	5	V	21	V	55	V	0,9	V	271	V	14,8	V	64	V	989	V	94	V	0	V
16/3/2011 0:00	3	V	0,2	V	3	V	11	V	3	V	11	V	2	V	13	V	81	V	2,6	V	276	V	14,8	V	42	V	992	V	149	V	0	V
17/3/2011 0:00	3	V	0,3	V	4	V	18	V	8	V	15	V	6	V	23	V	70	V	1,3	V	330	V	16,7	V	48	V	1000	V	189	V	0	V
18/3/2011 0:00	3	V	0,2	V	3	V	13	V	6	V	17	V	4	V	17	V	72	V	0,9	V	268	V	14,8	V	55	V	1008	V	223	V	0	V
19/3/2011 0:00	3	V	0,2	V	2	V	13	V	12	V	16	V	10	V	15	V	65	V	0,6	V	31	V	13,7	V	67	V	1008	V	224	V	0	V
20/3/2011 0:00	3	V	0,2	V	2	V	7	V	12	V	15	V	10	V	8	V	79	V	0,7	V	36	V	13	V	70	V	1009	V	223	V	0	V
21/3/2011 0:00	3	V	 		3	V	9	V	8	V	14	V	6	V	12	V	76	V	0,9	V	39	V	12	V	70	V	1010	V	167	V	0	V
22/3/2011 0:00	3	V	 		2	V	7	V	7	V	12	V	5	V	9	V	98	V	1,6	V	54	V	12,8	V	59	V	1010	V	161	V	2,6	V
23/3/2011 0:00	3	V	 		2	V	7	V	8	V	9	V	7	V	9	V	95	V	2,5	V	59	V	13,5	V	83	V	1009	V	55	V	1,9	V
24/3/2011 0:00	3	V	 		2	V	5	V	11	V	12	V	9	V	7	V	98	V	2,2	V	64	V	14,2	V	79	V	1011	V	73	V	0,5	V
25/3/2011 0:00	3	V	 		3	V	12	V	16	V	23	V	13	V	15	V	74	V	0,5	V	37	V	13,7	V	76	V	1008	V	160	V	0	V
26/3/2011 0:00	3	V	 		3	V	14	V	20	V	27	V	17	V	17	V	61	V	0,5	V	224	V	14,2	V	79	V	1003	V	203	V	0	V
27/3/2011 0:00	3	V	 		2	V	9	V	10	V	15	V	8	V	11	V	66	V	1,2	V	291	V	17,4	V	54	V	1000	V	215	V	0	V
28/3/2011 0:00	3	V	 		3	V	11	V	4	V	12	V	3	V	14	V	82	V	1,6	V	296	V	18,7	V	41	V	1003	V	224	V	0	V
29/3/2011 0:00	3	V	 		3	V	10	V	5	V	11	V	3	V	12	V	76	V	1,6	V	283	V	18,9	V	46	V	1003	V	173	V	0	V
30/3/2011 0:00	3	V	 		5	V	19	V	6	V	17	V	3	V	25	V	71	V	1,1	V	337	V	17,6	V	51	V	1007	V	240	V	0	V
31/3/2011 0:00	3	V	 		5	V	25	V	9	V	16	V	7	V	32	V	63	V	0,6	V	267	V	16	V	64	V	1011	V	240	V	0	V
1/4/2011 0:00	3	V	 		5	V	21	V	8	V	26	V	6	V	28	V	57	V	0,6	V	287	V	16,7	V	56	V	1010	V	254	V	0	V
2/4/2011 0:00	3	V	0,1	V	3	V	22	V	8	V	14	V	6	V	26	V	49	V	0,5	V	60	V	18,1	V	60	V	1003	V	221	V	0	V
3/4/2011 0:00	4	V	 		2	V	15	V	11	V	20	V	8	V	16	V	60	V	0,6	V	44	V	18,5	V	68	V	1000	V	129	V	0	V
4/4/2011 0:00	3	V	 		3	V	12	V	12	V	30	V	6	V	15	V	72	V	1	V	61	V	19,2	V	61	V	1004	V	223	V	0	V
5/4/2011 0:00	3	V	 		3	V	13	V	8	V	18	V	5	V	16	V	67	V	1	V	30	V	16,7	V	58	V	1010	V	221	V	0	V
6/4/2011 0:00	3	V	 		4	V	15	V	8	V	20	V	5	V	19	V	88	V	0,8	V	51	V	17,6	V	55	V	1010	V	210	V	0	V
7/4/2011 0:00	4	V	0,2	V	4	V	20	V	7	V	21	V	5	V	24	V	87	V	0,8	V	25	V	17,4	V	39	V	1012	V	265	V	0	V
8/4/2011 0:00	3	V	0,2	V	5	V	26	V	8	V	32	V	5	V	32	V	77	V	0,8	V	264	V	18,5	V	35	V	1007	V	270	V	0	V
9/4/2011 0:00	4	V	0,3	V	4	V	35	V	16	V	61	V	8	V	40	V	71	V	0,4	V	54	V	23,9	V	36	V	1002	V	254	V	0	V
10/4/2011 0:00	3	V	0,2	V	2	V	10	V	16	V	37	V	9	V	11	V	107	V	1	V	92	V	22,5	V	45	V	1002	V	250	V	0	V
11/4/2011 0:00	3	V	0,1	V	5	V	15	V	9	V	19	V	6	V	22	V	76	V	0,7	V	45	V	17,7	V	62	V	1006	V	222	V	0	V
12/4/2011 0:00	3	V	0,1	V	2	V	14	V	9	V	19	V	7	V	16	V	74	V	0,8	V	2	V	17,6	V	60	V	1008	V	260	V	0	V
13/4/2011 0:00	3	V	0,1	V	6	V	19	V	17	V	29	V	12	V	26	V	67	V	0,5	V	98	V	16,9	V	69	V	1004	V	262	V	0	V
14/4/2011 0:00	3	V	0,1	V	6	V	17	V	22	V	40	V	15	V	25	V	67	V	0,5	V	97	V	17,3	V	74	V	997	V	263	V	0	V
15/4/2011 0:00	3	V	0,1	V	3	V	8	V	16	V	26	V	12	V	11	V	85	V	0,8	V	74	V	17,4	V	75	V	997	V	180	V	0	V
16/4/2011 0:00	3	V	0,1	V	2	V	5	V	8	V	15	V	5	V	7	V	109	V	0,9	V	61	V	16,4	V	62	V	1003	V	223	V	0	V
17/4/2011 0:00	3	V	0,1	V	2	V	6	V	6	V	10	V	5	V	7	V	109	V	1,2	V	50	V	15	V	60	V	1005	V	274	V	0	V
18/4/2011 0:00	3	V	0,1	V	2	V	10	V	10	V	19	V	8	V	12	V	107	V	1,1	V	60	V	15,4	V	60	V	1003	V	252	V	0	V
19/4/2011 0:00	5	V	 		4	V	14	V	17	V	24	V	15	V	19	V	81	V	0,6	V	37	V	15	V	74	V	999	V	120	V	0	V
20/4/2011 0:00	3	V	 		4	V	11	V	18	V	27	V	15	V	15	V	88	V	1,1	V	53	V	16,6	V	69	V	997	V	254	V	0	V
21/4/2011 0:00	3	V	0,2	V	2	V	14	V	15	V	20	V	12	V	16	V	63	V	0,5	V	3	V	16,5	V	79	V	993	V	26	V	0	V
22/4/2011 0:00	3	V	0,1	V	2	V	7	V	5	V	8	V	3	V	9	V	82	V	0,7	V	148	V	16,6	V	71	V	992	V	260	V	0	V
23/4/2011 0:00	3	V	0,1	V	2	V	8	V	6	V	9	V	5	V	10	V	83	V	0,7	V	99	V	16,4	V	70	V	994	V	254	V	0	V
24/4/2011 0:00	3	V	0,1	V	2	V	5	V	5	V	6	V	4	V	7	V	85	V	0,8	V	32	V	17,1	V	66	V	996	V	99	V	0	V
25/4/2011 0:00	3	V	0,1	V	2	V	7	V	6	V	8	V	4	V	9	V	73	V	0,4	V	328	V	17	V	75	V	998	V	113	V	0	V
26/4/2011 0:00	3	V	0,1	V	4	V	18	V	8	V	15	V	6	V	23	V	64	V	0,5	V	67	V	18,2	V	65	V	999	V	240	V	0	V
27/4/2011 0:00	4	V	0,2	V	3	V	14	V	12	V	17	V	10	V	18	V	66	V	0,5	V	74	V	17,8	V	73	V	999	V	286	V	0	V
28/4/2011 0:00	4	V	0,2	V	3	V	13	V	17	V	23	V	15	V	17	V	89	V	0,5	V	50	V	18	V	62	V	995	V	250	V	0	V
29/4/2011 0:00	4	V	 		3	V	15	V	16	V	21	V	14	V	18	V	100	V	0,9	V	21	V	17,9	V	55	V	988	V	98	V	0,3	V
30/4/2011 0:00	3	V	 		2	V	12	V	22	V	26	V	21	V	14	V	97	V	0,3	V	344	V	17,1	V	68	V	988	V	76	V	0,2	V
1/5/2011 0:00	3	V	0,2	V	2	V	6	V	17	V	19	V	15	V	8	V	90	V	1,1	V	56	V	16,7	V	70	V	989	V	250	V	0	V
2/5/2011 0:00	3	V	0,2	V	2	V	6	V	10	V	13	V	6	V	8	V	85	V	0,7	V	333	V	17,9	V	75	V	987	V	102	V	2	V
3/5/2011 0:00	3	V	0,2	V	6	V	15	V	9	V	13	V	7	V	22	V	65	V	0,7	V	286	V	19,7	V	70	V	996	V	233	V	1,8	V
4/5/2011 0:00	3	V	0,2	V	3	V	16	V	8	V	16	V	6	V	19	V	85	V	0,6	V	203	V	21,4	V	52	V	1001	V	288	V	0	V
5/5/2011 0:00	3	V	0,3	V	2	V	9	V	17	V	20	V	15	V	11	V	88	V	0,6	V	75	V	19,4	V	78	V	1003	V	281	V	0	V
6/5/2011 0:00	2	V	0,2	V	2	V	8	V	11	V	16	V	9	V	10	V	92	V	1,6	V	57	V	19,5	V	66	V	1000	V	284	V	0,1	V
7/5/2011 0:00	2	V	0,2	V	1	V	8	V	12	V	23	V	8	V	9	V	92	V	1,3	V	38	V	21,6	V	52	V	998	V	168	V	0	V
8/5/2011 0:00	3	V	0,2	V	1	V	10	V	5	V	10	V	3	V	12	V	85	V	1	V	294	V	20,5	V	49	V	1003	V	311	V	0	V
9/5/2011 0:00	2	V	 		2	V	11	V	11	V	17	V	8	V	14	V	77	V	0,7	V	58	V	18,6	V	71	V	1006	V	302	V	0	V
10/5/2011 0:00	2	V	 		2	V	8	V	13	V	20	V	10	V	10	V	73	V	1	V	49	V	19,4	V	68	V	1009	V	308	V	0	V
11/5/2011 0:00	2	V	0,1	V	1	V	9	V	11	V	19	V	9	V	11	V	83	V	0,7	V	47	V	19	V	60	V	1007	V	300	V	0	V
12/5/2011 0:00	3	V	0,2	V	1	V	12	V	9	V	17	V	7	V	14	V	97	V	0,6	V	43	V	19,4	V	46	V	1004	V	246	V	0	V
13/5/2011 0:00	5	V	 		2	V	14	V	13	V	28	V	10	V	16	V	101	V	0,5	V	46	V	19,9	V	53	V	1003	V	247	V	0	V
14/5/2011 0:00	4	V	 		1	V	13	V	12	V	18	V	10	V	15	V	90	V	0,6	V	119	V	20,5	V	59	V	1002	V	296	V	0	V
15/5/2011 0:00	2	V	0,2	V	1	V	5	V	7	V	10	V	5	V	5	V	88	V	0,9	V	52	V	18,1	V	74	V	1008	V	115	V	0	V
16/5/2011 0:00	2	V	0,1	V	2	V	9	V	8	V	18	V	4	V	12	V	75	V	0,6	V	70	V	17,5	V	67	V	1010	V	233	V	0	V
17/5/2011 0:00	1	V	0,2	V	2	V	9	V	8	V	15	V	4	V	11	V	74	V	0,5	V	67	V	18,5	V	67	V	1007	V	208	V	0	V
18/5/2011 0:00	1	V	0,1	V	3	V	9	V	6	V	12	V	4	V	14	V	79	V	1	V	61	V	19,3	V	62	V	1000	V	146	V	0,1	V
19/5/2011 0:00	1	V	0,1	V	2	V	8	V	7	V	12	V	6	V	11	V	76	V	0,9	V	37	V	19,5	V	65	V	1000	V	212	V	0,2	V
20/5/2011 0:00	3	V	0,1	V	1	V	6	V	7	V	12	V	4	V	7	V	99	V	1,1	V	40	V	20,7	V	53	V	1001	V	261	V	0,1	V
21/5/2011 0:00	2	V	0,1	V	1	V	5	V	9	V	13	V	8	V	6	V	110	V	0,9	V	85	V	20,3	V	53	V	1004	V	320	V	0	V
22/5/2011 0:00	 		0,2	V	1	V	8	V	12	V	16	V	10	V	9	V	89	V	0,5	V	89	V	19,9	V	57	V	1006	V	313	V	0	V
23/5/2011 0:00	 		0,1	V	2	V	17	V	11	V	25	V	9	V	21	V	84	V	0,7	V	110	V	21,8	V	45	V	1007	V	316	V	0	V
24/5/2011 0:00	 		0,2	V	1	V	16	V	12	V	23	V	10	V	18	V	98	V	0,6	V	45	V	22,7	V	45	V	1007	V	319	V	0	V
25/5/2011 0:00	 		 		3	V	22	V	12	V	29	V	9	V	26	V	91	V	0,8	V	228	V	23,4	V	40	V	1006	V	324	V	0	V
26/5/2011 0:00	 		 		2	V	26	V	14	V	34	V	10	V	29	V	88	V	0,5	V	34	V	24,3	V	45	V	1001	V	244	V	0	V
27/5/2011 0:00	 		 		1	V	13	V	15	V	26	V	11	V	15	V	100	V	0,7	V	99	V	23,6	V	59	V	1001	V	203	V	0	V
28/5/2011 0:00	 		0	V	1	V	8	V	20	V	26	V	16	V	10	V	88	V	0,6	V	96	V	21,8	V	74	V	1002	V	263	V	0	V
29/5/2011 0:00	 		0	V	1	V	6	V	14	V	19	V	11	V	7	V	83	V	0,6	V	55	V	21,4	V	76	V	1002	V	214	V	0	V
30/5/2011 0:00	 		0	V	2	V	10	V	11	V	19	V	8	V	12	V	76	V	0,6	V	187	V	21	V	74	V	999	V	165	V	0	V
31/5/2011 0:00	 		0,1	V	2	V	11	V	14	V	21	V	11	V	14	V	71	V	0,5	V	71	V	21,3	V	74	V	1002	V	220	V	0	V
1/6/2011 0:00	 		0,1	V	1	V	8	V	6	V	8	V	5	V	9	V	69	V	0,7	V	48	V	18,1	V	81	V	1005	V	70	V	0	V
2/6/2011 0:00	1	V	 		1	V	9	V	6	V	12	V	4	V	11	V	83	V	0,7	V	62	V	18,5	V	65	V	1004	V	241	V	0	V
3/6/2011 0:00	 		 		1	V	9	V	3	V	6	V	2	V	10	V	99	V	0,7	V	22	V	19	V	55	V	1003	V	193	V	0	V
4/6/2011 0:00	 		0,1	V	1	V	5	V	3	V	6	V	2	V	6	V	105	V	0,7	V	67	V	18,4	V	60	V	999	V	328	V	0	V
5/6/2011 0:00	 		0,2	V	1	V	5	V	5	V	7	V	4	V	6	V	95	V	0,6	V	125	V	19	V	65	V	995	V	301	V	0	V
6/6/2011 0:00	 		0,1	V	2	V	12	V	5	V	9	V	4	V	15	V	79	V	0,5	V	151	V	19,9	V	65	V	993	V	244	V	0	V
7/6/2011 0:00	 		0,1	V	2	V	13	V	7	V	18	V	5	V	16	V	83	V	0,8	V	304	V	21,1	V	58	V	992	V	233	V	0	V
8/6/2011 0:00	 		0,1	V	1	V	7	V	7	V	12	V	5	V	8	V	89	V	0,7	V	37	V	21,8	V	58	V	997	V	214	V	0	V
9/6/2011 0:00	 		0,1	V	3	V	8	V	14	V	24	V	9	V	12	V	85	V	0,6	V	111	V	21,2	V	69	V	1000	V	305	V	0	V
10/6/2011 0:00	2	V	0,1	V	2	V	13	V	19	V	29	V	13	V	16	V	89	V	0,4	V	103	V	22,7	V	68	V	1000	V	289	V	0	V
11/6/2011 0:00	1	V	0,1	V	1	V	5	V	17	V	24	V	13	V	6	V	82	V	0,6	V	144	V	22,1	V	71	V	1003	V	282	V	0	V
12/6/2011 0:00	1	V	0,1	V	4	V	10	V	16	V	24	V	13	V	16	V	63	V	0,5	V	168	V	22,3	V	69	V	1004	V	313	V	0	V
13/6/2011 0:00	2	V	0,2	V	2	V	12	V	13	V	28	V	9	V	15	V	85	V	0,6	V	136	V	23,8	V	60	V	1001	V	304	V	0	V
14/6/2011 0:00	1	V	0,2	V	1	V	7	V	15	V	24	V	11	V	9	V	93	V	0,6	V	72	V	23,6	V	72	V	1003	V	318	V	0	V
15/6/2011 0:00	2	V	0,1	V	2	V	10	V	16	V	23	V	13	V	12	V	79	V	0,4	V	137	V	23,2	V	73	V	1003	V	315	V	0	V
16/6/2011 0:00	2	V	0	V	3	V	13	V	15	V	25	V	12	V	18	V	74	V	0,5	V	166	V	23,8	V	66	V	1001	V	313	V	0	V
17/6/2011 0:00	1	V	0,2	V	2	V	10	V	16	V	23	V	13	V	13	V	73	V	0,5	V	152	V	24,3	V	72	V	999	V	319	V	0	V
18/6/2011 0:00	1	V	0,2	V	2	V	10	V	15	V	29	V	12	V	13	V	76	V	0,9	V	53	V	26,4	V	60	V	998	V	314	V	0	V
19/6/2011 0:00	1	V	0,1	V	1	V	2	V	12	V	19	V	8	V	3	V	83	V	1	V	80	V	23,9	V	71	V	1004	V	278	V	0	V
20/6/2011 0:00	2	V	0,1	V	1	V	7	V	12	V	21	V	7	V	9	V	66	V	0,5	V	91	V	23,1	V	72	V	1004	V	278	V	0	V
