Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 03014009-Alacant - Rabassa
	
FECHA	HORA	PM2.5	PM1	SO2	CO	NO	NO2	PM10	NOx	O3	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.
05/01/2016	17	3	1	3	0.5	2	9	37	11	77	2.3	287	15.8	36	989	39	0
05/01/2016	18	2	1	3	0.4	2	8	21	10	78	2.4	292	14.8	38	990	1	0
05/01/2016	19	1	1	3	0.3	2	8	14	11	77	1.5	308	13.2	45	990	2	0
05/01/2016	20	2	1	4	0.3	2	8	17	11	74	0.4	287	12.4	50	991	2	0
05/01/2016	21	3	1	4	0.3	2	12	49	14	66	0.2	258	12.3	52	992	2	0
05/01/2016	22	1	1	3	0.3	2	5	6	8	76	1.2	263	12.4	53	993	2	0
05/01/2016	23	2	1	4	0.2	2	8	7	10	65	1.9	300	12.2	54	993	2	0
06/01/2016	00	2	1	4	0.2	2	9	14	10	67	1.7	299	11.8	54	994	1	0
06/01/2016	01	2	1	4	0.2	2	11	25	14	63	2.4	305	11.2	56	994	2	0
06/01/2016	02	2	1	4	0.2	2	9	31	11	69	2.6	312	10.5	57	994	2	0
06/01/2016	03	2	1	4	0.1	2	9	21	12	70	2.5	303	10.5	55	995	3	0
06/01/2016	04	2	1	4	0.1	2	7	22	9	73	1.5	273	10.4	54	995	2	0
06/01/2016	05	4	1	4	0.1	2	15	67	17	60	1.9	287	10.2	55	996	2	0
06/01/2016	06	5	1	4	0.1	2	5	78	8	77	3.6	315	9.9	54	995	3	0
06/01/2016	07	3	1	5	0.1	2	8	44	10	73	3.4	297	10	53	996	3	0
06/01/2016	08	7	2	5	0.1	2	7	84	10	77	4	287	10.3	52	997	31	0
06/01/2016	09	5	2	5	0.1	2	7	61	8	75	2.1	269	11.4	47	998	193	0
06/01/2016	10	3	1	4	0.1	2	4	22	7	78	1.6	276	12.4	45	999	365	0
06/01/2016	11	8	3	4	0.3	4	14	135	20	61	2.4	295	13.5	43	999	358	0
06/01/2016	12	2	1	4	0.3	2	5	8	7	79	1.9	272	13.7	42	999	389	0
06/01/2016	13	5	2	4	0.3	4	13	73	17	67	2.8	289	13.6	43	999	230	0
06/01/2016	14	3	1	4	0.3	3	11	18	16	69	2.2	287	14.2	41	999	336	0
06/01/2016	15	4	2	4	0.3	3	12	57	15	71	2.7	293	14.8	39	999	264	0
06/01/2016	16	4	2	4	0.3	3	12	47	16	70	2	293	14.5	40	999	163	0
06/01/2016	17	4	2	4	0.3	2	8	49	11	74	2.2	290	14.6	42	999	67	0
06/01/2016	18	2	1	4	0.2	3	18	22	22	59	2.4	288	13.6	46	1000	3	0
06/01/2016	19	1	1	4	0.2	2	6	3	8	78	2	271	13.3	49	1000	1	0
06/01/2016	20	2	1	4	0.2	2	7	2	9	73	2.2	247	13.1	50	1000	1	0
06/01/2016	21	2	2	4	0.2	2	8	3	10	67	1.9	247	12.5	52	1000	3	0
06/01/2016	22	2	2	4	0.1	2	7	3	9	68	2.1	253	12.3	53	1000	3	0
06/01/2016	23	1	1	4	0.1	2	4	6	6	78	2.9	251	13.4	49	999	2	0
07/01/2016	00	1	1	4	0.1	2	4	3	6	77	2.3	243	13.9	50	999	1	0
07/01/2016	01	1	1	4	0.1	2	4	1	6	74	2.2	224	13.7	52	999	1	0
07/01/2016	02	1	1	4	0.1	2	4	2	6	72	2.3	230	14.2	54	998	3	0
07/01/2016	03	1	1	4	0.1	2	4	1	6	74	1.4	223	14.8	56	998	0	0
07/01/2016	04	1	1	4	0.1	2	4	6	6	79	1	253	16.2	55	997	1	0
07/01/2016	05	3	1	4	0.1	2	4	40	6	79	2.2	256	16.8	53	997	1	0
07/01/2016	06	2	1	4	0.1	2	4	28	6	78	1.2	253	17.2	53	998	1	0
07/01/2016	07	2	1	3	0.1	2	5	28	7	75	1.4	251	17.1	54	998	3	0
07/01/2016	08	2	1	4	0.1	2	7	29	9	71	2.1	255	17.3	53	998	11	0
07/01/2016	09	3	1	3	0.1	2	4	55	6	73	2.4	264	17.5	54	998	37	0
07/01/2016	10	3	1	3	0.1	2	5	47	7	70	2	263	18	54	999	109	0
07/01/2016	11	4	1	3	0.1	2	4	68	6	68	2.3	268	19.1	52	999	245	0
07/01/2016	12	5	2	3	0.1	2	4	84	7	68	3.1	271	20	49	998	303	0
07/01/2016	13	5	1	3	0.1	2	4	75	7	67	2.6	272	21.1	45	997	400	0
07/01/2016	14	4	1	3	0.1	2	4	57	6	69	2.8	268	22.1	42	996	399	0
07/01/2016	15	4	1	3	0.1	2	4	58	7	68	2.9	271	23	38	996	323	0
07/01/2016	16	2	1	3	0.1	2	4	25	6	70	2.6	259	22.1	39	997	125	0
07/01/2016	17	1	1	3	0.1	2	5	7	6	68	2.2	277	21.7	41	997	41	0
07/01/2016	18	1	1	3	0.1	2	6	4	9	64	2.6	260	20.4	46	997	1	0
07/01/2016	19	1	1	3	0.1	2	6	9	9	63	3.8	272	19.4	50	997	0	0
07/01/2016	20	1	1	3	0.1	2	5	3	7	65	3.7	277	19.3	50	997	0	0
07/01/2016	21	2	1	3	0.1	2	4	12	6	68	3.1	266	19.3	51	998	0	0
07/01/2016	22	1	1	3	0.1	2	5	6	7	69	3.7	264	19.4	51	998	2	0
07/01/2016	23	1	1	3	0.1	2	4	1	6	70	3.1	263	19.7	50	998	2	0
08/01/2016	00	1	1	3	0.1	2	4	1	6	67	2.1	282	18.8	53	998	2	0
08/01/2016	01	1	1	3	0.1	2	4	1	6	65	1.7	290	18.4	54	998	1	0
08/01/2016	02	1	1	3	0.1	2	5	5	8	54	0.8	302	16	62	997	0	0
08/01/2016	03	1	1	3	0.1	2	6	6	8	52	0.2	275	16.1	61	997	0	0
08/01/2016	04	1	1	3	0.1	2	9	6	11	44	0.4	306	14.9	66	997	0	0
08/01/2016	05	1	1	3	0.1	2	10	3	12	39	0.2	322	14.2	68	996	1	0
08/01/2016	06	1	1	3	0.2	2	17	2	19	29	0.5	339	13.8	71	996	1	0
08/01/2016	07	1	1	3	0.2	2	21	3	23	22	0.5	336	12.9	74	996	0	0
08/01/2016	08	2	1	3	0.3	17	38	14	64	5	0.3	229	13.2	74	997	35	0
08/01/2016	09	3	2	3	0.3	33	41	32	92	8	0.1	285	15.7	67	997	185	0
08/01/2016	10	5	2	3	0.1	13	26	79	46	24	0.2	290	19.1	57	997	333	0
08/01/2016	11	4	3	3	0.1	22	31	29	66	24	0.4	156	18.9	57	997	446	0
08/01/2016	12	3	3	3	0.1	5	15	11	23	43	0.2	173	19.9	54	995	503	0
08/01/2016	13	3	2	3	0.1	4	16	9	22	49	0.7	198	20.8	51	994	509	0
08/01/2016	14	4	3	3	0.1	4	16	10	21	52	0.9	147	19.4	65	993	446	0
08/01/2016	15	4	3	3	0.1	3	16	13	21	50	0.6	171	20	66	993	320	0
08/01/2016	16	4	2	3	0.1	3	20	28	25	46	0.1	148	21.4	60	992	176	0
08/01/2016	17	5	3	3	0.1	2	24	30	27	36	0.3	170	19.6	65	993	31	0
08/01/2016	18	6	4	3	0.1	7	36	35	47	19	0.2	76	17.3	74	993	0	0
08/01/2016	19	10	8	3	0.1	21	54	32	86	2	0.1	68	16.1	82	993	0	0
08/01/2016	20	8	6	3	0.2	12	53	11	71	3	0.1	197	15.6	84	994	0	0
08/01/2016	21	8	5	3	0.2	23	54	11	88	5	0.1	286	15.3	82	994	0	0
08/01/2016	22	6	4	3	0.2	17	43	15	68	5	0.5	344	14	74	993	0	0
08/01/2016	23	4	3	3	0.3	2	27	13	29	24	0.1	236	15.1	63	993	0	0
09/01/2016	00	2	2	3	0.2	2	18	9	20	42	0.2	271	15.8	58	993	0	0
09/01/2016	01	3	3	3	0.3	2	16	12	18	37	0.1	311	15.2	59	993	0	0
09/01/2016	02	3	3	3	0.3	2	9	8	11	42	0.6	323	13.4	65	992	0	0
09/01/2016	03	4	3	3	0.2	2	10	12	12	42	0.6	334	13.4	66	992	0	0
09/01/2016	04	3	3	3	0.2	2	8	6	9	42	0.3	341	12.9	68	991	0	0
09/01/2016	05	3	3	3	0.2	2	8	8	11	43	0.1	281	14	66	991	0	0
09/01/2016	06	3	3	3	0.2	2	18	11	20	26	0.1	291	13.7	66	991	0	0
09/01/2016	07	4	3	3	0.2	4	26	15	30	17	0.1	323	13.8	67	991	0	0
09/01/2016	08	5	3	3	0.2	3	24	53	29	24	0.1	267	14.7	64	991	9	0
09/01/2016	09	7	4	3	0.2	17	35	97	62	10	0.1	325	14.4	67	991	55	0
09/01/2016	10	6	5	3	0.2	16	38	43	62	12	0.1	222	15.7	63	992	85	0
09/01/2016	11	11	10	4	0.1	4	24	34	30	36	0.1	239	17.7	57	992	179	0
09/01/2016	12	4	2	4	0.1	2	8	23	10	63	1	268	20.1	47	992	212	0
09/01/2016	13	6	5	4	0.1	3	14	18	19	66	1	220	20.9	47	991	413	0
09/01/2016	14	2	2	3	0.1	2	5	8	7	81	2.5	251	22.2	42	991	467	0
09/01/2016	15	1	1	3	0.1	2	4	7	7	87	2.4	259	22.9	38	991	365	0
09/01/2016	16	1	1	3	0.1	2	4	14	6	90	2.9	267	22.9	34	991	201	0
09/01/2016	17	2	1	4	0.1	2	6	39	8	87	2.5	280	22	31	992	46	0
09/01/2016	18	2	1	3	0.1	2	4	17	7	89	2.3	272	20.4	31	993	2	0
09/01/2016	19	1	1	3	0.1	2	4	2	6	88	2.4	274	19.5	32	994	2	0
09/01/2016	20	1	1	3	0.1	2	5	2	7	84	2.3	274	18.6	36	995	1	0
09/01/2016	21	1	1	4	0.1	2	5	2	6	82	1.7	269	17.7	38	996	0	0
09/01/2016	22	2	2	4	0.2	2	9	3	11	75	1.1	238	16.6	41	996	1	0
09/01/2016	23	1	1	4	0.1	2	8	2	10	73	0.8	254	15.8	45	997	1	0
10/01/2016	00	1	1	4	0.1	2	7	2	10	75	1	253	15.6	46	997	0	0
10/01/2016	01	1	1	4	0.1	2	5	1	7	74	0.9	261	14.9	48	997	0	0
10/01/2016	02	1	1	4	0.1	2	6	2	8	69	0.5	239	13.7	51	996	1	0
10/01/2016	03	1	1	4	0.1	2	5	2	7	69	0.6	241	13.4	53	996	1	0
10/01/2016	04	1	1	4	0.1	2	5	2	7	70	0.4	250	13.2	55	996	0	0
10/01/2016	05	2	1	4	0.1	2	7	11	8	63	0.7	274	12.5	57	996	3	0
10/01/2016	06	1	1	4	0.1	2	6	2	7	63	0.2	243	12.2	58	996	1	0
10/01/2016	07	2	1	4	0.1	2	8	17	9	55	0.4	306	11	62	996	4	0
10/01/2016	08	3	1	4	0.1	2	12	41	15	51	0.1	270	11.5	63	996	14	0
10/01/2016	09	1	1	4	0.1	2	14	5	18	53	0.1	256	12.4	61	996	87	0
10/01/2016	10	2	1	3	0.1	2	11	6	15	57	0.6	221	14.1	58	996	289	0
10/01/2016	11	2	1	3	0.1	3	7	4	11	69	1.7	231	16.2	52	996	387	0
10/01/2016	12	2	2	3	0.1	2	6	4	8	75	2.2	237	17.2	48	996	444	0
10/01/2016	13	1	1	3	0.1	2	4	7	7	84	2.5	246	19.1	39	995	490	0
10/01/2016	14	3	2	3	0.1	2	7	6	9	78	1.8	213	17.9	46	994	388	0
10/01/2016	15	2	1	3	0.1	2	7	8	8	75	1.5	216	18	53	994	284	0
10/01/2016	16	2	1	3	0.1	2	6	9	8	77	1.1	213	17.8	56	994	153	0
10/01/2016	17	2	2	3	0.1	2	7	8	8	75	0.6	208	16.4	65	994	24	0
10/01/2016	18	3	2	3	0.1	2	8	12	11	67	0.1	209	15.4	68	994	0	0
10/01/2016	19	4	3	3	0.1	2	28	22	29	37	0.1	22	14.7	71	994	0	0
10/01/2016	20	7	6	3	0.1	5	36	34	43	15	0.4	340	13	73	994	0	0
10/01/2016	21	7	6	3	0.1	3	30	22	34	14	0.4	328	12.1	73	994	0	0
10/01/2016	22	5	4	3	0.1	2	15	24	17	45	0.3	269	14	67	994	0	0
10/01/2016	23	2	1	3	0.1	2	7	8	10	68	0.6	258	16.3	54	993	0	0
11/01/2016	00	1	1	3	0.1	2	5	4	8	75	0.9	247	16.6	49	993	0	0
11/01/2016	01	2	1	3	0.1	2	7	5	10	65	0.2	271	15	54	993	0	0
11/01/2016	02	2	1	3	0.1	2	15	11	18	53	0.1	170	15	54	992	0	0
11/01/2016	03	1	1	3	0.1	2	5	3	7	73	0.1	200	15.1	54	992	0	0
11/01/2016	04	1	1	3	0.1	2	5	3	7	72	0.3	283	15.1	55	991	0	0
11/01/2016	05	1	1	3	0.1	2	5	2	7	70	0.5	253	15.3	57	991	0	0
11/01/2016	06	1	1	3	0.1	2	8	2	9	67	0.3	224	15.1	58	991	0	0
11/01/2016	07	1	1	3	0.1	2	15	6	16	50	0.2	178	13.8	63	991	0	0
11/01/2016	08	2	1	3	0.1	2	19	15	21	45	0.3	189	13.7	65	991	10	0
11/01/2016	09	4	2	3	0.1	13	42	51	61	20	0.4	242	14.1	65	992	81	0
11/01/2016	10	4	3	4	0.1	17	40	38	66	30	0.4	101	16.9	57	994	295	0
11/01/2016	11	2	2	5	0.1	3	14	11	18	65	1.9	217	19.5	49	994	375	0
11/01/2016	12	2	1	5	0.1	2	8	25	9	74	2.5	301	19.9	50	995	312	0
11/01/2016	13	5	2	4	0.1	3	11	110	16	72	2.8	309	20.6	46	994	477	0
11/01/2016	14	5	1	4	0.1	4	14	91	20	68	2.6	306	21	44	994	417	0
11/01/2016	15	2	1	4	0.1	3	7	22	11	77	2.4	318	20.9	44	994	356	0
11/01/2016	16	1	1	4	0.1	2	5	7	8	82	1.4	327	20.1	46	995	210	0
11/01/2016	17	2	1	4	0.1	2	11	29	14	70	1.2	307	18.6	50	995	41	0
11/01/2016	18	3	1	4	0.1	2	11	31	12	71	1.1	296	17.7	50	996	1	0
11/01/2016	19	3	1	4	0.1	2	8	41	10	77	2.5	324	17	44	997	0	0
11/01/2016	20	2	1	4	0.2	2	12	27	14	69	1.7	311	16.2	41	998	0	0
11/01/2016	21	2	1	4	0.2	2	6	20	8	80	2.5	317	16.1	38	999	0	0
11/01/2016	22	3	1	4	0.2	3	14	21	17	68	1.8	305	15.6	41	1000	0	0
11/01/2016	23	4	2	5	0.4	4	37	34	44	30	1.7	295	15.6	42	1000	0	0
12/01/2016	00	3	2	5	0.4	4	30	14	36	38	1.5	292	15.2	44	1001	0	0
12/01/2016	01	3	2	5	0.3	2	21	13	23	57	0.9	284	14.7	43	1001	0	0
12/01/2016	02	3	2	5	0.4	2	25	17	27	48	0.7	296	14.1	45	1001	0	0
12/01/2016	03	3	2	5	0.3	2	14	21	16	63	1	307	13.3	50	1002	0	0
12/01/2016	04	3	2	5	0.2	2	4	23	6	85	2.8	318	13.6	50	1002	0	0
12/01/2016	05	4	2	5	0.1	2	4	33	7	86	3.5	323	13.6	48	1001	1	0
12/01/2016	06	3	2	5	0.1	2	4	25	6	84	3.5	324	13.4	49	1002	0	0
12/01/2016	07	2	1	5	0.1	2	7	12	9	79	2.8	320	12.8	52	1003	0	0
12/01/2016	08	5	3	5	0.1	3	16	66	20	60	2.6	309	12.4	55	1003	23	0
12/01/2016	09	6	3	6	0.1	4	17	84	23	62	3.3	302	13.7	51	1003	188	0
12/01/2016	10	14	5	4	0.1	12	31	253	49	44	3.7	298	14.7	45	1004	343	0
12/01/2016	11	16	5	3	0.1	10	27	293	42	49	3.3	298	15.4	44	1004	452	0
12/01/2016	12	7	3	3	0.1	6	16	117	25	62	3.4	306	16.7	39	1003	520	0
12/01/2016	13	3	1	3	0.1	2	7	37	10	78	3.3	310	17.3	37	1003	525	0
12/01/2016	14	3	1	3	0.1	3	8	38	12	78	2.8	306	18.2	35	1002	556	0
12/01/2016	15	3	1	3	0.1	2	6	34	9	82	3.1	311	17.9	35	1003	404	0
12/01/2016	16	2	1	3	0.1	2	7	23	9	81	3.2	311	17.3	36	1003	206	0
12/01/2016	17	3	1	3	0.1	3	17	30	23	66	2.9	304	16.2	38	1004	41	0
12/01/2016	18	6	2	3	0.1	3	19	107	23	60	3	301	15.2	42	1004	0	0
12/01/2016	19	1	1	3	0.1	2	8	7	9	79	2.4	328	14.6	42	1005	0	0
12/01/2016	20	1	1	3	0.1	2	10	4	11	75	2	329	13.8	45	1006	0	0
12/01/2016	21	3	1	3	0.1	2	8	22	10	71	2.3	323	13.3	49	1006	0	0
12/01/2016	22	3	2	3	0.1	7	26	27	37	45	1.1	343	13	52	1006	0	0
12/01/2016	23	2	2	3	0.1	2	7	3	10	72	0.1	89	13.1	50	1007	0	0
13/01/2016	00	1	1	3	0.1	2	8	3	10	72	0.1	167	12.9	48	1007	0	0
13/01/2016	01	1	1	3	0.1	2	6	3	8	70	0.4	354	11.8	52	1007	0	0
