Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 03014009-Alacant - Rabassa
	
FECHA	NOx	O3	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	PM2.5	PM1	SO2	CO	NO	NO2	PM10
25/01/2015	17	50	1.4	341	12.3	45	1004	141	0	3	2	3	0.1	3	13	5
26/01/2015	23	38	0.5	313	9.7	62	1008	143	0	5	3	3	0.1	4	18	18
27/01/2015	26	34	0.5	336	11.6	63	1006	140	0	5	4	3	0.1	4	21	9
28/01/2015	29	38	0.5	293	11.3	59	1004	146	0	4	2	3	0.1	6	20	14
29/01/2015	17	48	1.6	277	15.4	48	994	140	0	4	3	3	0.1	4	12	17
30/01/2015	7	49	2.7	249	20.2	46	981	109	0	1	1	3	0.1	2	5	8
31/01/2015	19	50	3.8	297	15.6	46	979	122	0.6	2	1	3	0.1	4	13	15
01/02/2015	19	54	3.3	303	10.6	39	993	159	0	2	1	3	0.1	5	13	9
02/02/2015	18	49	1.3	286	11.2	47	993	120	0.9	2	2	3	0.1	4	13	7
03/02/2015	12	54	1.7	274	13.4	51	984	140	0.2	1	1	3	0.1	3	8	6
04/02/2015	17	56	2.3	301	9.2	46	983	132	0	1	1	3	0.1	3	13	4
05/02/2015	18	51	1.8	299	7.9	37	989	130	0	3	1	3	0.1	4	12	16
06/02/2015	28	50	1.6	302	7.9	40	993	150	0	3	2	3	0.1	6	19	22
07/02/2015	12	51	0.3	13	7.2	51	1000	98	0	3	2	3	0.2	2	9	4
08/02/2015	12	49	0.6	284	8.2	54	1003	165	0	6	5	3	0.2	2	9	7
09/02/2015	16		0.8	36	8.7	69	1005	79	0	6	4	3	0.2	3	12	8
10/02/2015	14	65	0.6	51	11	73	1005	56	0	4	2	3	0.1	2	11	6
11/02/2015	15	49	0.7	34	11.9	77	1002	143	0	5	3	3	0.2	2	12	9
12/02/2015	28		0.2	326	10.9	83	1002	31	0	7	5	3	0.2	3	23	13
13/02/2015	25		0.4	302	13.1	65	1003	166	0	7	5	3	0.2	4	19	13
14/02/2015	12	72	1.3	275	15.6	51	999	120	0	3	2	3	0.1	3	9	7
15/02/2015	13	57	1.8	292	16.1	60	994	179	0.2	2	2	3	0.1	3	9	5
16/02/2015	11	68	1.2	349	15.9	60	999	161	0.3	2	1	3	0.1	2	8	5
17/02/2015	8	72	1.3	27	12.8	71	1004	79	0.1	2	1	3	0.1	2	6	2
18/02/2015	10	79	1.3	49	13.6	64	1011	150	0	4	3	3	0.1	2	8	6
19/02/2015	15	88	1	33	12.6	64	1010	168	0	7	5	3	0.1	4	10	9
20/02/2015	18	72	0.7	25	11.6	68	1003	175	0	7	5	3	0.2	3	14	9
21/02/2015	15	60	1.2	314	11.6	63	990	91	0	4	3	3	0.2	3	12	8
22/02/2015	11	75	1.5	318	12.5	45	994	172	0	2	2	3	0.1	2	9	3
23/02/2015	16	55	1.7	283	16.1	51	996	75	0	3	2	3	0.1	4	10	10
24/02/2015	18	69	2.2	305	14.7	34	1003	154	0	2	1		0.1	3	14	17
25/02/2015	15	68	2.5	310	14.9	39	1004	126	0	2	1		0.1	4	11	13
26/02/2015	17	62	1.1	12	17.6	49	1001	153	0	2	2		0.1	3	13	5
27/02/2015	13	66	1	317	17.2	40	1000	172	0	2	1	4	0.1	3	10	5
28/02/2015	16	64	0.2	13	12.1	60	1004	177	0	3	2	4	0.1	2	13	8
01/03/2015	16	57	0.8	284	19.3	46	1004	166	0	3	2	4	0.1	4	11	9
02/03/2015	23	46	0.7	285	21.3	49	1003	180	0	3	2		0.1	3	19	16
03/03/2015	21	45	0.3	90	16.8	72	1005	178	0	8	5		0.1	4	16	12
04/03/2015	14	59	0.4	25	14.3	80	1008	116	0	10	8	3	0.1	3	11	13
05/03/2015	13	77	0.7	313	12.8	27	1012	206	0	2	1	4	0.1	2	11	5
06/03/2015	26	60	0.5	345	10.4	43	1013	213	0	4	2	3	0.1	5	19	14
07/03/2015	23	61	0.4	275	11.8	55	1010	232	0	5	3	3	0.2	4	18	16
08/03/2015	11	78	0.4	32	12.3	70	1006	169	0	6	4	3	0.2	2	9	11
09/03/2015	18	74	0.3	215	13.6	78	1006	218	0	9	6	3	0.2	2	15	14
10/03/2015	26	60	0.2	9	12.6	81	1008	221	0	9	6	3	0.2	6	18	20
11/03/2015	32	57	0.3	13	14.1	68	1005	235	0	11	9	3	0.2	5	24	19
12/03/2015	36	64	0.3	37	16	56	1001	213	0	10	8	3	0.2	5	30	20
13/03/2015	15	84	0.4	71	13.8	80	1002	214	0	13	11	3	0.2	2	12	19
14/03/2015	12	56	0.3	54	10.7	82	1002	86	0	6	5	3	0.1	2	10	9
15/03/2015	9	62	0.3	80	10.6	73	1000	188	0	4	4	4	0.1	2	7	5
16/03/2015	11	67	0.4	91	10.9	78	1001	241	0	5	4	3	0.1	2	9	7
17/03/2015	12	68	0.7	37	10.5		1002		0	4	3	3	0.1	3	8	5
18/03/2015	16	64	0.9	39	12.7	78	998	45	0	4	3	3	0.2	3	13	6
19/03/2015	7	75	1.7	44	14.7	79	993	124	0	4	3	3	0.1	2	5	7
20/03/2015	9	79	1.8	49	16.1	71	989		0	5	3	3	0.1	2	7	9
21/03/2015	9	70	0.5	161	14.5	86	989	184	0	7	4	3	0.1	2	6	11
22/03/2015	7	79	0.5	95	14.3	87	991	165	0	5	4	3	0.1	2	5	6
23/03/2015	11	70	0.6	61	13.8	93	990	56	0	9	4	3	0.1	2	9	13
24/03/2015	14	61	0.5	152	14.5	84	985	179	0	5	3	3	0.1	3	11	9
25/03/2015	11	59	0.6	336	11.8	70	987	71	0	2	1	3	0.1	2	8	3
26/03/2015	11	69	1.1	327	12.1	47	997	229	0	1	1	3	0.1	2	9	5
27/03/2015	24	51	0.8	350	18.5	50	1003	244	0	2	1	3	0.1	6	17	5
28/03/2015	16	48	0.6	44	19	56	1005	246	0	2	1	3	0.1	3	13	5
29/03/2015	14	53	0.5	0	18.6	55	1005	221	0	3	2	3	0.1	2	12	6
30/03/2015	23	54	0.9	316	24.3	35	1004	229	0	2	1	3	0.1	3	18	12
31/03/2015	27	55	0.4	343	22.1	43	1005	246	0	3	1	3	0.1	4	21	16
01/04/2015	16	68	0.5	74	16.6	70	1007	195	0	4	2	3	0.1	4	11	8
02/04/2015	11	66	0.4	161	15	78	1007	241	0	6	2	3	0.1	2	8	9
03/04/2015	12	54	0.3	164	14.8	83	1001	236	0	8	4	3	0.1	2	9	13
04/04/2015	12	60	0.5	57	14.8	82	996	200	0	6	3	3	0.1	2	9	9
05/04/2015	8	67	0.6	112	15.3	77	994	258	0	5	3	3	0.1	2	6	7
06/04/2015	6	87	1.3	71	15	73	1001	177	0	3	2	3	0.1	2	4	6
07/04/2015	8	94	1.5	59	14.5	61	1007	133	0	3	2	3	0.1	2	6	6
08/04/2015	7	102	2.1	73	14.1	60	1009	241	0	3	1	3	0.1	2	5	5
09/04/2015	8	93	1.2	60	14.6	62	1007	204	0	4	2	3	0.1	2	6	8
10/04/2015	16	74	0.5	15	14.1	72	1005	225	0	5	3	3	0.1	3	13	13
11/04/2015	16	63	0.3	66	14.6	78	1005	104	0	8	5	3	0.1	2	13	15
12/04/2015	8	87	1.3	61	16.9	62	1006	148	0	7	4	3	0.1	2	6	14
13/04/2015	8	101	1.8	61	19.3	42	1008	179	0	6	2	3	0.1	2	6	16
14/04/2015	14	80	1.8	54	18.7	39	1005	234	0	8	3	3	0.1	3	10	21
15/04/2015	12	75	1.1	87	17.8	65	999	88	0.6	8	4	3	0.1	2	10	17
16/04/2015	17	49	0.2	76	16.6	86	998	182	1.6	9	5	3	0.1	3	13	13
17/04/2015	20	60	0.5	353	18.8	65	999	249	0	4	3	3	0.1	3	17	7
18/04/2015	14	62	0.4	124	16.9	72	996	245	0	5	3	3	0.1	3	11	8
19/04/2015	14	71	0.8	328	18.8	48	997	252	0	2	1	3	0.1	2	12	6
20/04/2015	13	70	0.5	58	16.5	67	1002	264	0	3	2	3	0.1	3	9	6
21/04/2015	15	68	1	52	16.4	67	1004	214	0	3	1	3	0.1	3	11	8
22/04/2015	10	75	0.5	75	17	72	1003	199	0	4	2	3	0.1	2	8	7
23/04/2015	21	56	0.2	202	17	80	999	219	0	9	6	3	0.1	3	17	15
24/04/2015	14	69	0.3	171	16.7	88	998	199	0	11	8	3	0.1	2	12	16
25/04/2015	16	64	0.3	96	18.8	79	996	217	0	13	9	3	0.1	3	13	22
26/04/2015	15	53	0.9	261	19.5	71	991	204	3.1	5	3	3	0.1	3	11	10
27/04/2015	17	70	2.2	282	19.8	45	994	277	0	2	1	3	0.1	3	13	9
28/04/2015	15	66	0.8	26	18.8	57	1000	288	0	2	1	3	0.1	3	12	7
29/04/2015	17	57	0.5	145	17.9	77	1000	271	0	6	4	3	0.1	3	14	11
30/04/2015	11	71	0.3	114	18.1	84	1002	247	0	8	5	3	0.1	2	9	12
01/05/2015	21	63	0.4	176	21.6	65	998	239	0	7	5	3	0.1	2	18	15
02/05/2015	17	66	0.3	144	24.2	47	996	286	0	4	2	3	0.1	2	14	10
03/05/2015	19	64	0.4	90	24.2	52	993	271	0	5	3	3	0.1	2	16	11
04/05/2015	28	55	0.2	160	23.3	59	990	187	0	6	4	3	0.1	3	24	16
05/05/2015	14	53	0.4	79	23.4	62	993	221	0	7	4	3	0.1	2	12	19
06/05/2015	11	76	0.8	344	22.2	51	998	293	0	3	2	3	0.1	2	9	10
07/05/2015	15	63	0.6	47	20	66	1000	299	0	5	2	3	0.1	3	11	11
08/05/2015	16	67	0.8	269	24.1	45	1000	304	0	4	2	3	0.1	2	13	14
09/05/2015	9	60	0.5	56	22.8	62	1005	295	0	7	3	3	0.1	2	7	15
10/05/2015	9	65	0.6	55	21.1	60	1006	300	0	5	3	3	0.1	2	7	9
11/05/2015	12	78	1	42	21.6	45	1004	299	0	3	1	3	0.1	2	9	9
12/05/2015	15	70	0.5	127	21.4	44	1005	310	0	3	2	3	0.1	3	12	11
13/05/2015	23	54	0.4	189	22.1	55	1004	280	0	5	3	3		4	19	16
14/05/2015	37	63	0.6	143	28.6	32	995	279	0	7	3	3		5	29	33
15/05/2015	7	74	0.8	124	21.2	59	999	306	0	5	2	3		2	5	15
16/05/2015	9	69	0.6	160	19.1	61	1005	311	0	2	1	3		2	7	8
17/05/2015	9	70	0.5	190	19.8	60	1003	314	0	2	1	3		2	7	6
18/05/2015	10	65	0.4	137	20.1	59	997	311	0	2	1	3		2	8	7
19/05/2015	12	58	1	68	20.9	70	992	194	0	4	2	3		2	9	10
20/05/2015	7	68	0.8	73	18.8	65	999	254	0	2	1	3		2	5	5
21/05/2015	9	68	0.8	75	17.7	59	1005	311	0	2	1	3		2	7	5
22/05/2015	11	65	0.7	92	17.2	65	1003	314	0	2	1	3	0.1	2	8	6
23/05/2015	10	66	0.5	30	18	63	999	314	0	2	1	3	0.1	2	8	6
24/05/2015	7	73	0.5	49	17.9	62	998	129	0	2	1	3	0.2	2	6	6
25/05/2015	10	79	0.6	64	20.9	48	998	292	0	3	2	3	0.2	2	8	8
26/05/2015	15	67	0.6	92	20.5	62	998	266	0	6	4	3		3	12	17
27/05/2015	7	76	0.5	92	20.6	74	1000	290	0	5	3	3		2	6	9
28/05/2015	9	67	0.5	74	20.3	67	1001	317	0	5	3	3		2	7	9
29/05/2015	13	67	0.6	62	19.9	62	997	217	0	4	2	3		2	11	10
30/05/2015	10	63	0.5	141	21.2	74	999	287	3.1	5	3	3		2	8	9
31/05/2015	9	56	0.4	99	21.5	80	999	287	0	5	3	3		2	7	7
01/06/2015	13	52	0.4	99	21.3	79	1000	286	0	5	4	3		3	10	8
02/06/2015	13	56	0.3	70	21.8	65	1002	315	0	5	3	3		3	9	9
03/06/2015	11	73	0.9	52	23.3	46	1003	327	0	3	2	3		3	8	6
04/06/2015	11	70	0.9	53	23.8	43	1002	327	0	3	2	3		2	9	7
05/06/2015	11	69	0.7	45	23.4	47	1002	327	0	3	2	3		2	9	7
06/06/2015	11	69	0.7	46	23.5	41	1003	329	0	3	2	3		2	8	5
07/06/2015	8	72	0.6	60	23.6	38	1002	331	0	2	2	3		2	6	5
08/06/2015	13	72	0.5	67	24.4	39	999	300	0	3	2	3		2	11	11
09/06/2015	16	64	0.5	57	24.2	52	996	303	0	5	4	3		3	13	15
10/06/2015	8	69	0.8	55	24.6	57	995	312	0	4	4	3		2	6	9
11/06/2015	18	47	0.7	282	22.3	73	993	76	0.3	7	5	3		2	16	17
12/06/2015	12	54	0.6	83	23.5	68	992	273	0	7	4	3		3	9	14
13/06/2015	11	53	0.7	52	23.3	66	991	295	0.6	6	3	3		2	9	13
14/06/2015	19	71	1	241	23.4	41	994	266	0	4	2	3		4	13	15
15/06/2015	8	71	1	29	23.1	47	997	296	0	2	1	3	0.1	2	6	8
16/06/2015	9	69	0.7	341	21.7	59	1001	210	0	2	1	3	0.1	2	7	9
17/06/2015	11	65	0.6	77	22.2	66	1002	279	0	2	1	3	0.1	2	8	5
18/06/2015	9	71	0.5	122	22.7	59	1002	322	0	2	2	3	0.1	2	7	4
19/06/2015	12	67	0.5	198	23.1	60	999	325	0	3	2	3	0.1	2	10	9
20/06/2015	10	61	0.5	124	23.5	64	1000	323	0	3	3	3	0.1	2	8	8
21/06/2015	10	63	0.5	102	24.4	55	1000	317	0	3	2	3	0.1	2	8	9
22/06/2015	14		0.6	80	25.3	52	997	312	0	3	1	3	0.1	3	10	9
23/06/2015	13		0.8	196	26.2	56	994	268	0	5	2	3	0.2	3	10	16
24/06/2015	9		0.9	82	24.5	66	999	316	0	4	2	3	0.1	2	7	9
25/06/2015			0.5	172	23.9	65	1003	220	0	3	2	3	0.1	2	8	6
26/06/2015	16	72	0.6	195	25.2	57	1003	316	0			3	0.1	3	13	
27/06/2015	12	84	0.5	223	27.2	42	1001	320	0			3	0.2	2	10	
28/06/2015	11	89	0.6	176	28.3	41	999	321	0			3	0.2	2	9	
29/06/2015	15	83	0.4	65	27.9	45	1001	315	0			3	0.1	3	12	
30/06/2015	13	84	0.5	50	28.2	36	998	316	0			3	0.1	2	11	
01/07/2015	15	81	0.9	61	28.5	43	997	307	0			3	0.2	3	11	
02/07/2015	15	76	0.8	82	28.8	51	998	254	0	5	2	3	0.2	3	12	16
03/07/2015	7	81	1.2	69	28.1	63	1001	304	0	5	2	3		2	5	11
04/07/2015	8	85	1	55	28.3	48	1001	311	0	4	2	3	0.2	2	6	10
05/07/2015	9	81	0.7	43	28	49	999	313	0	4	3	3	0.3	2	7	10
06/07/2015	19	84	0.5	48	29.3	38	1000	312	0	4	2	3	0.2	3	15	15
07/07/2015	23	81	0.6	220	30.3	32	997	312	0	4	2	3	0.2	3	19	21
08/07/2015	20	65	0.5	95	28.6	54	995	299	0	6	3	3		5	14	26
09/07/2015	8	66	0.6	109	26.4	76	998	263	0	6	3	3		2	6	14
10/07/2015	11	61	0.7	184	26.6	71	998	305	0	5	2	3		3	8	11
11/07/2015	7	66	0.6	77	26.4	76	1000	232	0	5	2	3		2	5	9
12/07/2015	7	62	0.4	112	26.2	75	1000	313	0	3	2	3		2	5	7
13/07/2015	13	53	0.5	176	26.6	76	1000	307	0	5	3	3		3	9	10
14/07/2015	9	64	0.4	107	27.2	71	999	306	0	4	2	3		2	7	8
15/07/2015	11	76	0.5	63	27.5	57	998	304	0	3	1	3		3	9	7
16/07/2015	11	86	0.5	70	28	49	997	305	0	3	1	3		2	8	7
17/07/2015	10	65	0.5	64	27.6	63	999	287	0	3	2	3		2	8	7
18/07/2015	8	61	0.6	136	27.1	72	998	281	0	4	2	3		2	6	7
19/07/2015	9	56	0.4	176	26.8	76	997	254	0	4	3	3		2	7	7
20/07/2015	12	54	0.4	143	27.4	77	996	281	0			3		3	8	
21/07/2015	13	52	0.5	191	28	72	996	298	0			3		3	10	
22/07/2015	12	62	0.6	118	27.8	74	996	261	0			3		2	9	
23/07/2015	12	67	0.4	184	27.8	71	996	243	0			3		3	9	
24/07/2015	12	67	0.6	185	28.5	76	992	290	0			3		2	9	
25/07/2015	7	79	0.8	105	29	71	994	254	0			3		2	5	
26/07/2015	6	74	0.6	134	28.2	78	996	284	0			3		2	4	
27/07/2015	13	75	0.6	130	29.7	70	993	299	0			3		3	9	
28/07/2015	7	65	0.5	120	28.5	80	994	281	0			3		2	5	
29/07/2015	10	59	0.4	144	28.1	76	992	257	0			3		2	7	
30/07/2015	10	57	0.8	87	28.2	80	992	228	0			3	0.1	2	8	
31/07/2015	8	69	0.9	91	27.5		991	158	0			3	0.2	2	7	
01/08/2015	10	95	1.1	62	27.5	68	994	304	0			3	0.1	2	9	
02/08/2015	8	98	0.5	85	27.6	64	998	312	0			3	0.1	2	7	
03/08/2015	16	79	0.6	41	28.3	56	998	295	0			3	0.1	2	14	
04/08/2015	16	78	0.5	88	27.8	64	996	295	0			3	0.3	3	13	
05/08/2015	11	85	0.5	93	28.1	77	996	301	0			3	0.3	2	9	
06/08/2015	10	78	0.5	99	28.6	78	996	265	0			3	0.3	2	9	
07/08/2015	15	72	0.5	155	29.6	70	996	236	0			3	0.2	2	13	
08/08/2015	14	70	0.4	103	28.8	70	998	142	0	21	5	3	0.2	2	12	33
09/08/2015	9	78	0.7	79	27.5	77	1000	235	0	18	4	3	0.2	2	7	29
10/08/2015	13	70	0.7	142	27.9		997	284	0			3	0.3	2	11	
11/08/2015	8	80	0.4	131	28.2		996	236	0			3	0.2	2	7	
12/08/2015	13	74	0.4	113	28.2	78	998	272	0	14	14	3	0.3	2	10	15
13/08/2015	17	57	1.1	290	31	40	996	394	0	3	3	3	0.2	2	15	34
14/08/2015	14	78	0.8	52	27.6	47	995	404	0	1	1	4	0.1	2	12	20
15/08/2015	14	77	0.8	50	25.9	66	994	218	0	1	1	3	0.1	2	12	8
16/08/2015	10	74	0.6	134	25.2		995	265	0	1	1	3	0.1	2	9	2
17/08/2015	12	81	0.7	78	27	72	993	290	0	2	2	3	0.1	2	11	6
18/08/2015	12	70	0.8	75	26.8	76	994	282	0	1	1	3	0.1	2	10	3
19/08/2015	13	64	0.7	89	27.1	74	998	262	0	1	1	3	0.1	2	11	7
20/08/2015	11	72	0.6	86	26.8	74	1002	299	0	1	1	3	0.1	2	9	3
21/08/2015	14	77	0.6	67	26.3	69	1001	282	0	1	1	3	0.1	2	12	3
22/08/2015	11	69	0.6	85	25.9	73	996	276	0	1	1	3	0.1	2	9	2
23/08/2015	15	61	0.9	294	28	49	991	278	0	2	2	3	0.1	3	12	15
24/08/2015	13	76	1.4	291	27.5	45	992	305	0	1	1	4	0.1	2	11	18
25/08/2015	15	72	0.8	69	25.8	66	999	300	0	1	1	3	0.1	2	12	6
26/08/2015	12	70	0.6	71	26.2	70	998	294	0	1	1	3	0.1	2	10	6
27/08/2015	16	59	0.6	115	25.8	72	997	299	0	2	1	3	0.1	3	14	21
28/08/2015	16	58	0.6	69	25.8	75	999	283	0	1	1	3	0.1	3	13	5
29/08/2015	11	68	0.7	66	26.5	72	1000	291	0	1	1	3	0.1	2	9	4
30/08/2015	10	69	0.6	68	27.3	74	999	266	0	3	3	3	0.1	2	8	7
31/08/2015	14	60	0.4	72	27.1	81	996	210	0	5	5	3	0.1	2	12	8
01/09/2015	18	54	0.7	74	26.8	74	996	246	0	3	3	3	0.1	3	14	6
02/09/2015	14	61	0.5	101	26.1	79	995	240	0	6	6	3	0.1	2	12	8
03/09/2015	14	74	0.5	120	26.2	70	994	267	0	2	2	3	0.1	2	12	8
04/09/2015	12	84	0.6	85	24.8	75	994	195	0	2	2	3	0.1	2	10	14
05/09/2015	14	70	0.9	41	23.3	72	999	145	0	1	1	3	0.1	2	12	2
06/09/2015	12	62	0.4	356	20.9		1002	47	0	1	1	3	0.1	2	10	1
07/09/2015	19	57	0.5	22	21.3	88	1001	71	0	1	1	3	0.1	2	17	2
08/09/2015									0							
09/09/2015									1.5							
10/09/2015	17	58	0.6	261	23.5	81	996	248	0	3	3	3	0.1	3	14	4
11/09/2015	20	67	0.4	45	23.8	75	996	254	0	2	2	3	0.1	4	15	4
12/09/2015	14	81	0.5	39	23.5	74	995	123	0	1	1	3	0.1	2	12	4
13/09/2015	14	70	0.6	276	25.2	67	992	237	0	2	2	3	0.1	2	12	4
14/09/2015	13	79	1.1	297	25.9	50	994	278	0			3	0.1	2	11	
15/09/2015	20	70	0.6	299	24.2	62	992	247	0			4	0.1	3	17	
16/09/2015	19	61	0.6	242	24.7	62	988	268	0			4	0.1	3	16	
17/09/2015	15	71	1.2	281	24.5	52	993	249	0			4	0.1	2	12	
18/09/2015	14	81	1.2	45	22.9	53	1000	234	0			3	0.1	2	11	
19/09/2015	10	82	0.9	46	22.9	66	1004	251	0			3	0.1	2	8	
20/09/2015	10	71	0.6	254	22	70	1003	265	0			3	0.1	2	8	
21/09/2015	21	59	0.5	242	23.1	72	998	240	0	1	1	3	0.1	3	17	6
22/09/2015	22	73	1.1	305	27.5	45	993	257	0	2	2	3	0.1	2	19	37
23/09/2015	18	83	0.7	123	23.7	62	996	250	0	2	1	3	0.1	3	14	21
24/09/2015	14	67	0.5	20	21.6	72	1000	168	0	2	1	3	0.1	2	13	13
25/09/2015	18	59	0.5	240	21.1	77	999	245	0	4	2	3	0.1	3	14	15
26/09/2015	13	66	0.5	211	21.2	78	999	221	0	4	3	3	0.1	2	10	8
27/09/2015	12	60	0.6	17	20.5	83	1001	131	1.8	3	2	3	0.1	2	11	5
28/09/2015	13	71	0.9	27	20.6	69	1002	239	0	2	2	3	0.1	2	11	4
29/09/2015	17	64	0.5	7	18.4	82	998	74	2.3	3	2	3	0.1	2	14	5
30/09/2015	15	78	0.6	17	20.7	72	999	220	0	2	2	3	0.1	2	12	3
01/10/2015	20	63	0.5	308	20.9	83	1002	176	0	5	4	3	0.1	4	16	8
02/10/2015	24	60	0.4	40	21	76	999	230	0	7	6	3	0.1	5	18	13
03/10/2015	19	64	0.4	347	21	80	998	108	0	8	7	3	0.1	2	16	16
04/10/2015	15	66	0.4	231	23.3	75	1001	208	0	8	7	3	0.1	2	13	17
05/10/2015	22	34	0.7	291	26.3	58	999	132	0	7	5	3	0.1	4	17	38
06/10/2015	14	56	1.3	290	26.2	44	996	215	0	4	2	3	0.1	3	11	38
07/10/2015	17	68	0.7	33	22.4	58	998	183	0	2	1	4	0.1	3	13	9
08/10/2015	20	57	0.9	25	19.2	80	997	118	0.3	2	1	3	0.1	4	14	6
09/10/2015	13	59	0.4	1	19.4	76	996	184	0.5	2	1	3	0.1	2	11	4
10/10/2015	13	61	0.6	249	20	78	993	212	0	3	2	3	0.1	2	11	6
11/10/2015	14	55	0.5	320	21.5	78	990	179	0	3	2	3	0.1	2	12	7
12/10/2015	15	49	0.5	35	22.3	73	992	188	0	2	2	3	0.1	2	13	10
13/10/2015	18	50	0.9	63	20.7	81	993	138	21.6	3	2	3	0.1	4	14	5
14/10/2015	19	51	0.4	321	19.3	80	994	193	0	3	3	4	0.1	4	14	6
15/10/2015	19	60	0.5	22	18.6	76	996	196	0	5	4	4	0.1	3	16	12
16/10/2015	19	58	0.5	32	19.4	86	997	146	0	4	4	4	0.1	4	14	7
17/10/2015	13	65	0.8	31	19.4	83	996	166	0	4	3	3	0.1	2	11	7
18/10/2015	11	72	0.4	38	20.1	77	994	179	0	3	3	3	0.1	2	9	9
19/10/2015	18	63	0.5	48	21	81	992	176	2.9	4	3	3	0.1	3	15	9
20/10/2015	18	55	0.5	16	20	78	995	59	0.1	3	3	4	0.1	3	14	7
21/10/2015	15	48	0.5	21	17		998	77	0.6	2	2	3	0.1	3	12	3
22/10/2015	19	53	0.5	357	16.6	74	1001	190	0	3	3	3	0.1	3	15	7
23/10/2015	26	50	0.5	1	17.2	78	1002	136	0	5	4	3	0.1	5	20	14
24/10/2015	16	52	0.4	16	18	84	1001	63	0	4	3	3	0.1	3	13	5
25/10/2015	11	51	0.4	20	19	83	1001	76	0.2	3	3	3	0.1	2	9	6
26/10/2015	21	37	0.3	354	18.3		997	71	0	3	3	4	0.1	3	17	5
27/10/2015	19	46	0.6	301	19.1	81	995	138	0	7	6	3	0.1	3	15	10
28/10/2015	21	62	1.1	284	19.7	50	999	164	0	3	2	6	0.1	3	17	34
29/10/2015	18	64	0.7	301	19.7	59	1001	171	0	2	1	5	0.1	3	14	10
30/10/2015	15	61	0.6	63	18.5	80	1001	151	0	2	2	3	0.1	4	10	6
31/10/2015	12	70	0.8	43	18.5	77	1002	156	0	1	1	3		2	10	3
01/11/2015	8	82	2	57	19.1	78	1002	97	0.4	3	2	3		2	6	5
02/11/2015	15	61	1.1	179	17.6	84	997	35	19	3	3	4		2	13	7
03/11/2015	18	46	0.6	318	16.9	82	1002	159	0	3	2	4		3	14	7
04/11/2015	26	33	0.6	341	17.3	82	1004	139	0	4	3	4		5	19	9
05/11/2015	21	43	0.6	326	19.4	75	1004	159	0	4	3	4		3	17	8
06/11/2015	22	33	0.5	13	18.4	84	1007	157	0	4	4	3	0.1	4	16	7
07/11/2015	20	36	0.4	19	17.6		1009	154	0	8	7	3	0.2	3	16	10
08/11/2015	13	51	0.5	33	17.6		1011	153	0	5	4	4	0.1	2	10	6
